id,name,nickname,review_content,rating,write_date,source,교정된 내용,맞춤법 오류수
y_8_062,전주 브라운도트 덕진점,식물학습장군사경찰,따뜻하고 좋아요 특히 사장님이 너무 친절해요,4,2024-07,y,따뜻하고 좋아요 특히 사장님이 너무 친절해요,0
y_8_063,전주 브라운도트 덕진점,전완근,시설 좋은 곳 사용하려면 무조건 여기로 오는 것 같아요 무한 대실도 다음에 이용 예정입니다,5,2025-06,y,시설 좋은 곳 사용하려면 무조건 여기로 오는 것 같아요 무한 대실도 다음에 이용 예정입니다,0
y_8_064,전주 브라운도트 덕진점,신정호관광지편충,아주만족합니다 시설 인테리어 아주 좋아요,5,2025-05,y,아주 만족합니다 시설 인테리어 아주 좋아요,1
y_8_065,전주 브라운도트 덕진점,암회색권총,진짜로 좋아요 아주 자주 이용하고 어오,4,2025-06,y,진짜로 좋아요 아주 자주 이용하고 어 오,1
y_8_066,전주 브라운도트 덕진점,callhead4,숙소가 깔끔하고 사장님도 친절하고 좋았어요 잘쉬다갑니다,5,2025-06,y,숙소가 깔끔하고 사장님도 친절하고 좋았어요 잘 쉬다 갑니다,1
y_8_067,전주 브라운도트 덕진점,악동한이,좋아요 일요일마다 숙소 예약하네요,5,2025-05,y,좋아요 일요일마다 숙소 예약하네요,0
y_8_068,전주 브라운도트 덕진점,침착하고우호적인시멘트,따뜻해요,4,2025-06,y,따뜻해요,0
y_8_070,전주 브라운도트 덕진점,인위적인장군,깔끔하고 방음도 잘 되는 거 같고 좋아요,5,2025-05,y,깔끔하고 방음도 잘 되는 거 같고 좋아요,0
y_8_071,전주 브라운도트 덕진점,deliman,깨끗하구 넓어서 해적하네요,4,2025-06,y,깨끗하고 넓어서 해적하네요,1
y_8_072,전주 브라운도트 덕진점,함필웅,덕진공원주변 가성비 굿,4,2025-05,y,덕진공원 주변 가성비 굿,1
y_8_073,전주 브라운도트 덕진점,어지간한애완동물,깔끔하고 너무 너무 좋습니다,5,2025-04,y,깔끔하고 너무너무 좋습니다,1
y_8_074,전주 브라운도트 덕진점,여행가요79,자주 이용하는 사람입니다 방 컨디션 좋고 방 업그레이드도 자주 해주셔서 좋습니다,5,2025-05,y,자주 이용하는 사람입니다 방 컨디션 좋고 방 업그레이드도 자주 해주셔서 좋습니다,0
y_8_075,전주 브라운도트 덕진점,새*****,그냥저냥 이용하기 좋아용,4,2025-05,y,그냥저냥 이용하기 좋아요,1
y_8_076,전주 브라운도트 덕진점,삥아리,깔끔합니다많이 만족,5,2024-07,y,깔끔합니다 많이 만족,1
y_8_077,전주 브라운도트 덕진점,거제사격,친절하시고 깨끗합니다,5,2025-06,y,친절하시고 깨끗합니다,0
y_8_078,전주 브라운도트 덕진점,topyoung823,깔끔하고 좋아요 또 이용하고싶어요,5,2025-06,y,깔끔하고 좋아요 또 이용하고 싶어요,1
y_8_079,전주 브라운도트 덕진점,도톨엄마,맘에들엇어여 잘 이용했습니다,5,2025-05,y,맘에 들었어요 잘 이용했습니다,1
y_8_080,전주 브라운도트 덕진점,행복한포비,깔끔합니다 편하게 잘 쉬다왔습니다,5,2025-05,y,깔끔합니다 편하게 잘 쉬다 왔습니다,1
y_8_081,전주 브라운도트 덕진점,여행가요79,관리 잘되어있는 숙소입니다,5,2025-05,y,관리 잘 되어있는 숙소입니다,1
y_8_082,전주 브라운도트 덕진점,루이얌,구웃두웃구웃,4,2025-05,y,구웃두웃구웃,1
y_8_083,전주 브라운도트 덕진점,부돌남,덕진공원근처라 좋았습니다,5,2025-05,y,덕진공원 근처라 좋았습니다,1
y_8_084,전주 브라운도트 덕진점,루이얌,구웃구웃구웃,4,2025-05,y,구웃구웃구웃,1
y_8_085,전주 브라운도트 덕진점,곤우넨네,항상 잘 쉬다갑니다요,5,2025-06,y,항상 잘 쉬다 갑니다,1
y_8_086,전주 브라운도트 덕진점,즐겁고푸른캐나다,깔끔하고 좋아요 매번방문하는데 굳,5,2025-05,y,깔끔하고 좋아요 매번 방문하는데 굳,1
y_8_087,전주 브라운도트 덕진점,굼바,빵점 중에 빵점 입니다 절대 아이들과 같이 가지마세요 털도 그대로 있고돈아까웠습니다,0,2025-06,y,빵점 중에 빵점입니다 절대 아이들과 같이 가지 마세요 털도 그대로 있고 돈 아까웠습니다,3
y_8_088,전주 브라운도트 덕진점,김민21,믿고가는 브라운도트입니다,4,2025-06,y,믿고 가는 브라운 도트입니다,2
y_8_089,전주 브라운도트 덕진점,여행가요79,깨끗하고 좋습니다,5,2025-05,y,깨끗하고 좋습니다,0
y_8_090,전주 브라운도트 덕진점,여행가요79,좋습니다,5,2025-05,y,좋습니다,0
