name,rating,write_date,source,sentence,label
전주 윈져,3,2018-07,y,직원 친절하고 이용에 불편함은 없으나 시트 오염 바닥청소 머리카락 이물질 욕실 물고장 조금 아쉬운 부분들이 있네요,0
전주 제이즈호텔,5,2017-07,y,좋아요 주변 먹을 곳도 많고 근데 방이 너무 작아요,1
전주 스마일,4,2020-07,y,너무 일찍 가서 괜찮은지 전화로 연락드렸는데 예약한 방은 청소해야 해서 안 되지만 다른 방으로는 드릴 수 있다고 친절하게 설명해 주시고 좋은 방으로 주셔서 너무 좋았습니다,1
전주 테라호텔,5,2024-07,y,처음 가는 곳인데 첫 방문이 만족 만족 대만족입니다 이젠 여기로 정착해야 될 거 같아요 수압도 정말 세고요 넷플릭스도 볼 수 있고 도 나름 괜찮았던 거 같아요 화장실과 욕조가 분리돼있어서 좋았고요 객실 컨디션도 괜찮았어요 주차장도 엄청 넓더라고요 편의점도 바로 앞에 있고 침대도 편했어요 그중에서도 제일 좋은 건 인용 스파가 있다는 거예요 하남에선 가성비도 좋고 시설 좋은 거 같아요 자주 가겠습니다 자주 가는 곳인데 갈 때마다 만족 만족 대만족입니다 이번에는 랜덤 객실로 선택했는데 무려 스위트룸을 주셨어요 컴퓨터도 사양이 방급인게 대나 있었고 방도 엄청 컸어요 안마의자며 인 월풀이며 게이밍 커플 피시까지 진짜 감사해요 자주자주 갈게요 아 여기는 일반 객실에도 방의 자동 있고 컴퓨터 사양도 엄청 좋아요 그중에서도 제일 좋은 건 모든 객실에 인용 스파가 있다는 거예요 전주에선 가성비도 좋고 시설 좋은 거 같아요 자주 가겠습니다,1
전주 히든호텔,4,2025-04,y,청결상태 굿이고요 깔끔,1
전주 스마일,5,2018-07,y,푹 자고 왔음도 겨울 되면 침대 머리 쪽은 춥겠어요 창이 커서,0
전주 전주한옥마을점,3,2025-07,y,위치적으로 한옥마을과 가까운 편 풍년제과 본점과도 가까움 근처 카페나 밥집이 많음 일층에 게임기 보드게임 식빵 전자레인지 정수기 커피포트 있음 내가 묵은 방 안에는 커피포트 없음 방안에 스타일러 있어서 좋았음 가격이 싸고 위치가 좋아 예약했는데 일단 방이 좁은 편인데 욕실은 방만 큼 큼 욕실 방 밖에 있음 방 안 욕실 안 곰팡이가 너무 많음 욕실 세면대에 이상하게 차가운 물이 안 나오고 뜨거운 물만 나왔음 제일 별로였던 건 모기가 진짜 너무너무 많아서 마리 넘게 잡음 다행히 홈 키파 있어서 계속 뿌려댔음 담에 이용할지는 고민해 볼 듯,0
전주 제이즈호텔,5,2017-07,y,금요일 숙박했고요 블로그에서 많이 찾아봤던 곳이라 믿고 갈 수 있었습니다 시설도 좋고요 간식들도 자유롭게 먹을 수 있어서 좋네요 퇴실 시간이 시라서 좋았고요 다만 늦은 퇴실 시간 이른 입실시간 때문에 청소하시는 분들이 퇴실한 방부터 치우시는 거 같은데 아침에 모처럼 늦잠 잤던 저는 복도에서 나는 소리에 조금 놀랬어요 밤에 소란스럽다거나 옆방에 방음이 안된다거나 그런 건 없었던 것 같아요,0
전주 브라운도트 덕진점,2,2025-05,y,추웠시오 너무 난방 적음,0
전주 마리 터미널점,5,2021-07,y,잘 쉬어 갑니다 좋아요,1
전주 하운드호텔 터미널점,5,2025-05,y,너무 만족해서 이틀 연속 묵었어요 너무 깨끗하고 너무 따듯하고 보일러 빵빵 너무 친절하세요 가격도 합리적이고 강추강추,1
전주 하운드호텔 전주아중지구,5,2025-05,y,일찍 체크인했는데도 친절하게 응대 주셔서 너무 좋았어요,1
전주 큐,5,2016-07,y,두 번째 방문인데 포인트 써 결재하고 저렴하게 입실했어요 여기 어때 앱 참 좋은 거 같아요 혜택도 많고 잘 쉬다가 요,1
전주 큐,5,2019-07,y,전주여행 가면서 묵었는데 좋았어요,1
전주 호텔 늘,5,2024-07,y,넷플릭스도 되고 숙소하기 좋아요 객실 들어가면 깨끗하고 침대 바로 앞에 티브이도 있어서 좋아요 고데기도 있고 충전기도 있어서 편했어요 숙소 편해서 너무 좋아요 추천 드립니다힣,1
전주 윈져,5,2019-07,y,시설 깨끗하고 좋아요,1
전주 관광호텔,2,2025-04,y,싼 맛에 잠만 자려고 예약했는데 적어도 이용객이 잘 수 있게끔 청소라도 제대로 해야 하는 거 아닌가요 일 숙박인데 들어가니까 전날 이용한 손님이 처먹은 배달 봉지 서랍장엔 처먹은 핫식스 전 처먹었는지 테이블엔 기름 범벅 최악 이불엔 머리카락 그대로 방 청소 안 하고 그대로 다음 손님 받는 곳인 듯,0
전주 관광호텔,3,2021-07,y,화장실에서 검은색 벌레나 옴 모기 마리 잡음 아침 청소시간에 카드 찍고 문 열고 들어오는 거 정말 이해를 못 하겠음 저번에도 그래서 오늘로 번째인 안에 사람 있는 표식이 있어서 그럴 수가 없는데 그게 고장 났나 보다고 했었는데 카운터에 전화해 봤자 해결되는 일도 없어서 오늘은 전화도 안 했음 언제 들어올지 모르니 체인 꼭 걸고 자세요,0
전주 브라운도트 중화산동점,4,2024-07,y,편히 머물다 갑니다,1
전주 큐,5,2017-07,y,추운 날 대실 하러 후기 보고 방문하였습니다 침대 너무 푹신 푹 싱하고요 장판까지 너무 따듯했습니다 나갈 때 사장님께서 귤까지 너무 잘 쉬다가 갑니다,0
전주 마리 터미널점,5,2020-07,y,침대가 너무 푹신해요 근데 티브이가 자꾸 한 번씩 화면이 나갔다가 돌아와요,0
전주 히든호텔,5,2016-07,y,전주여행 왔다가 들렸는데 여행 후 모텔은 너무 좋아요 방도 넓고 이쁘고 시설도 잘 되어있어서 재미나게 놀았네요,1
전주 마리 터미널점,4,2019-07,y,고급 지고 깔끔하고 좋아요 신축이라 그런지 청결하고 괜찮았는데 화장실 배수구에서 물이 내려갈 때 소리가 너무 나는 게 좀 아쉬웠어요,1
전주 프린스,4,2024-07,y,들어가자마자 담배 냄새 확 나고 먼지가 있는지 계속 기침 나오고 욕조도 더럽고 하수구에 머리카락 그대로 있고 침대는 깨끗하지만 딱딱해서 잠자기 힘들었어요 딱 옛날 모텔 담배 냄새는 여기 탓이라기보다 전에 쓰던 쏜 놈이 몰래 핀 거 같은데 일단 그걸 제외하고도 가고 싶지 않더라고요,0
전주 제이즈호텔,5,2017-07,y,입실도 빠르고 깨끗하고 좋아요,1
전주 호텔 늘,4,2025-05,y,편하게 자고 갑니다 다음에도 올 맘 있음,1
