text,label,predicted_label,labels
가격 대비 만족합니다.,1,1,1
잘 쉬다 갑니다.,1,1,1
전주 시내에서 가까운 모텔가에 인접해 있고 찾기 쉽습니다.,1,1,1
"그리고 웬만한 수도권 호텔 못지않게 인테리어, 청결도, 서비스까지 깔끔하고 완벽했습니다.",1,1,1
"물 수압도 세고 바닥과 벽면이 금방 제습되어 습하지 않고, 무엇보다 에어컨에서 담배 냄새가 나지 않습니다.",1,0,1
"오래된 곳은 거의 담배 냄새가 배어있는데, 다시 전주에 방문하게 되면 재방문할 것입니다.",1,1,1
여행 기간 중 사용했던 게스트하우스 중 여기가 제일 좋았습니다.,1,1,1
"위치나 가성비는 말할 것도 없었으며, 야놀자 리뷰를 보고 걱정했었는데 정말 잘 쉬고 갑니다.",1,0,1
고속터미널과 가까워 이동이 편리했습니다.,1,1,1
방도 깨끗하고 난방이 잘되어 추운 날씨에도 따뜻하게 잘 보냈습니다.,1,1,1
다음에 전주에 오게 되면 다시 이용하고 싶습니다.,1,1,1
"터미널과 가까워 좋았지만, 화장실 전기가 안 들어오고 휴대폰 충전기도 고장 나서 숙박에 불편했습니다.",0,0,0
"넷플릭스 방으로 결제했는데, 넷플릭스 방은 돈을 더 줘야 한다고 했습니다.",0,0,0
처음부터 결제할 때 가격을 다르게 하셨으면 그 가격으로 결제했을 것입니다.,0,0,0
침대 스프링이 꺼져 있습니다.,0,0,0
아주 좋습니다.,1,1,1
매우 좋습니다.,1,1,1
베개에서 꿉꿉한 냄새가 났습니다.,0,0,0
"사장님께서 매우 친절하시고, 일정 때문에 3박을 지냈는데 매일 깔끔하게 청소해 주셨습니다.",1,1,1
TV도 크고 안마의자로 피로를 풀면서 안락하게 잘 쉰 덕분에 다음날 일정을 잘 소화해낼 수 있었습니다.,1,1,1
"평소 후기를 잘 안 쓰지만, 쾌쾌한 냄새가 너무 심하고 바닥이 끈적거려 불쾌했습니다.",0,0,0
청결도와 서비스는 기대하지 않는 것이 좋습니다.,0,0,0
"가격이 저렴해서 선택했지만, 다시는 방문하고 싶지 않습니다.",0,0,0
들어가자마자 담배 냄새가 났습니다.,0,0,0
방금 누군가 사용했던 방 같은 느낌이 들었습니다.,0,0,0
직원분들이 친절하고 룸 컨디션이 최고였습니다.,1,1,1
모든 것이 좋았으나 에어컨 위치가 좋지 않아 머리 쪽으로 바람이 직접 와 냉방병에 걸렸습니다.,0,0,0
매우 친절하게 설명도 잘해주셔서 감사합니다.,1,1,1
방도 쾌적하고 따뜻한 물도 잘 나와서 편하게 잘 쉬다 왔습니다.,1,1,1
나올 때도 웃으며 배웅해주셔서 매우 기분 좋게 나왔습니다.,1,1,1
사장님 미소 덕분에 더 좋은 여행이 된 것 같습니다.,1,1,1
다음에도 또 방문하겠습니다.,1,1,1
초코파이도 감사합니다.,1,1,1
