name,rating,write_date,source,sentence,label
전주 윈져,5,2019-07,y,정말 좋습니다 깨끗하고 따뜻하고 잘 지내고 갑니다,1
전주 프린스,5,2023-07,y,자주 이용하는 곳 입니다 조용하고 따뜻하고 스타일러가 있어서 좋고 하루 편히 쉴 수 있는 곳으로 안 설 맞 춤입니다 편하게 잘 쉬다 갑니다 감사합니다,1
전주 히든호텔,5,2020-07,y,깔끔하고 좋습니다 늘 만족합니다,1
전주 히든호텔,5,2019-07,y,역시 좋아요,1
전주 큐,3,2024-07,y,복도에 담배 냄새가 심하고 침구에 털이 있었고 내부 문짝이 떨어져 있었습니다 바닥에도 먼지와 머리카락이 있고 살짝 끈적끈적합니다 방과 화장실이 넓고 스타일러가 있다는 것 외에는 딱히,0
전주 윈져,5,2018-07,y,청결 친절 짱,1
전주 제이즈호텔,2,2025-06,y,침대가 너무 불편했어요 그리고 냉장고 안도 조금 더럽고 화장실 욕조도 청결하지 못했어요 그냥 하루 잠만 잔 걸로 만족,0
전주 관광호텔,1,2022-07,y,모기 마리 잡아도 계속 나옴 문도 닫아놨는데 아무리 환기 때문에 창문 열어놔서 들어왔다 쳐도 이렇게 심한 곳은 처음 진짜 잠만 자러 온 거라 괜찮겠지 했지만 절대 아님 다신 올 생각이 없음 진짜 개에 바 벽 졸라더럽고 개 찝찝함화 장실도 너무 찝찝 그리고 소음 진짜 뭐라 하는 편이 아닌데 이건 그냥 옆방에서 말하는 소리가 다 들리고 저녁 다 돼서도 진짜존나시끄러움 여기저기서 말하는 소리 다 들리고 애새끼들 소리존나지르는데 죽여버리고 싶었지만 다들놀러온거니까참자하고 참 애는 디 와 진짜 개에 바임 존나시끄러워서 스트레스받고 잠만 자러 온 거면 머 함 모기존나잡고 힘들게 자면 모기 때문에 존나깨고 모기 뜯긴 거 너무 간지러움 하루 지나도 계속 간지러움 거기 가서도 스트레스 나와서도 스트레스 절대 가지 마세요 제발 한옥마을과 객리 비단길 가까우니 괜찮은 거 빼고 없음 하아,0
전주 전주한옥마을점,2,2024-07,y,사진이랑 숙소가 달라요,0
전주 테라호텔,0,2024-07,y,물도 잘 안 나와요 문의전화했는데 바로 올라온다 했는데 사장님 잠수 전화도 안받음,0
전주 브라운도트 아중지구점,5,2025-06,y,매주 이용합니다 쿠키도 놓여 있고 배려심이 느껴져요,1
