text,rating,label
가격대비 만족합니다,5,1
잘쉬다갑니다,5,1
전주 시내에서 가까운 모텔가에 인접해있고 찾기 쉬워요,5,1
그리고 왠만한 수도권 호텔 못지 않게 인테리어 청결도 서비스까지 깔끔하고 완벽했습니다,5,1
물 수압도 세고 바닥과 벽면이 금방 제습되서 습하지 않고 무엇보다 에어컨에서 담배냄새가 안나요,5,1
오래된 곳은 거진 담배냄새가 베서 다시 전주에 방문하게 되면 재방문 할거예요,5,1
제가 여행 기간 중 사용했던 게스트하우스 중에 여기가 제일 좋았습니다,5,1
위치나 가성비는 말할 것도 없었구요,5,1
솔직히 야놀자 리뷰 보고 걱정했었는데 정말 잘 쉬고 갑니다,5,1
고속터미널에서 가까워서 이동할때 편안했어요,5,1
방도 깨끗하고 난방이 잘되어서 추운 날씨에 따뜻하게 잘 보냈습니다,5,1
다음에 전주에 오게 되면 또 이용하고 싶어요,5,1
터미널이랑 가까워서 좋았지만 화장실 전기도 안들어오고 휴대폰 충전기도 고장나서 숙박하는데 불편했어요,1,0
넷플방 결제했는데 넷플방은 돈 더 줘야한다고 처음부터 결제할때 가격을 다르게 하셨으면 그걸로 결제했는데,2,0
침대 스프링이 꺼져있네요,3,0
아주 네요,5,1
아조조타야,5,1
베개에서 꿉꿉한 냄새가 났어요,4,0
사장님 매우 친절하시고 일정 때문에 3박 지냈는데 매일 깔끔히 청소해주셨어요,5,1
티비도 크고 안마의자로 피로 풀면서 안락하게 잘 쉰 덕분에 다음날 일정 잘 소화해낼수 있었어요,5,1
웬만해선 후기 안쓰는데 쾌쾌한 냄새 너무 심하고 바닥이 끈적거려서 기분 안좋았어요,1,0
청결도 서비스 기대 안하시는 게 좋을 것 같아요,1,0
가격이 너무 저렴해서 골랐는데 다시는 안오고 싶습니다,1,0
들어가자마자 담배냄새가 났어요,3,0
금방 누가 있던 방 같은 느낌이 나서,3,0
친절하고 룸 컨디션 최고,5,1
다좋앗는데 에어컨 위치가 안좋앗어요,5,0
넘가까이에서 머리쪽으로 바로 받으니 냉방병이 와버렷어요,5,0
너무 친절하게 설명도 잘해주셔서 감사합니다,5,1
방도 쾌적하고 따뜻한물도 잘나와서 편하게 잘 쉬다왔어요,5,1
나올때도 웃으면서 배웅해주셔서 너무 기분좋게 나왔습니당,5,1
사장님미소덕분에 더 좋은여행이 된거같아요,5,1
다음에도 또 방문할게요,5,1
초코파이도 감사합니당,5,1
모기장이 고장나서 덜렁거리네요,3,0
여름에는 모기가 들어오겠어요,3,0
화장실 샤워기 고정하는곳이없어 불편했습니다,3,0
사진은 못찍었는데 숙소 정말 깔끔하고 예뻐요,5,1
여자친구가 간만에 마음에 드는 숙소라고 엄청 좋아하네요,5,1
30분전 퇴실을 준비하는데 전화가안되신다면서 계속하시니 기분은 좋지않았어요,4,0
빨리고치시길,4,0
이방이 유독 방음이 안되는 것 같네요,4,0
옆방 티비소리 음악소리 샤워소리에 잠을 청하기 힘들었네요,4,0
