word,score,count
좋다,0.13532145140902552,253
친절하다,0.071607785530207,81
매우,0.06914979715102723,111
깨끗하다,0.06875288519648752,83
자다,0.05414770106136471,63
깔끔하다,0.053534823103192394,68
직원,0.04962155095898814,62
방문,0.04655916955434397,68
숙소,0.04499637307207972,63
시설,0.04298821021165556,56
전주,0.04012806051430607,63
만족하다,0.03208481022676072,29
스파,0.029247470548090487,38
다음,0.029107907802920566,37
청결하다,0.028108408906030963,27
객실,0.027147463056863393,36
호텔,0.026540556806999474,33
아쉽다,0.026376866558725558,31
편안하다,0.026364102445987914,31
만족스럽다,0.02587424954167074,24
여행,0.0239522346269351,32
최고,0.02341555830020802,23
되어다,0.023004473123822818,40
넓다,0.02281993651516361,25
다시,0.021270212714619808,26
주변,0.020950115417389805,21
많다,0.020766535232371843,25
마을,0.019889955284607984,21
사우나,0.019821545286144097,29
조용하다,0.019329871612916542,16
분위기,0.01930043442331726,15
추천,0.018614624265826225,20
예약,0.018552496789394204,28
괜찮다,0.018047086430138144,19
쉬다,0.01676707339036806,18
예쁘다,0.01654195225665996,15
모두,0.01622347195014568,18
가장,0.015937679189806965,13
항상,0.015690223829674388,11
생각,0.015667587372789605,19
따뜻하다,0.014782900977890565,19
주차장,0.01476938867552214,14
수건,0.01467141296058444,21
조식,0.014498940256951923,22
서비스,0.014188378143449816,18
가성,0.014177900011842407,12
욕조,0.013951631181369979,17
모든,0.013903386461305949,14
가깝다,0.013796590431854688,14
료칸,0.013704489359226637,16
편리하다,0.013255207638473192,15
침대,0.013046738235082306,21
근처,0.0130303565002472,15
다른,0.012836485866749169,10
모텔,0.012832234574946987,17
화장실,0.012783921195102781,16
야외,0.012395497093398251,18
다만,0.012355438025465395,15
의사,0.012228621894404722,10
감사하다,0.012148372809101016,10
불편하다,0.011993171447203726,16
인테리어,0.011898831446845719,12
나오다,0.011792915053366285,15
테라스,0.011680511155059827,15
주차,0.011623445207992952,10
어메니티,0.011367232038216258,16
사용,0.011340866476129445,11
크다,0.011320690395451328,12
청결,0.011254608848925651,11
샌드위치,0.011030978763707368,14
컨디션,0.010940530065379811,8
가격,0.010646908039369476,14
제공,0.01048097161710122,14
바닥,0.01037583203205049,13
위치,0.01022222330454164,10
소파,0.010190300360420498,13
마음,0.010171570417647326,10
들어오다,0.010074640818635213,9
전반,0.010006293774430776,9
소리,0.009985631127692305,10
전체,0.00995116881547808,10
다소,0.00985623938801454,9
공간,0.009621023778832833,9
해주다,0.009297938167920737,9
출장,0.009214095512296022,8
시간,0.009202070672468827,12
커서,0.009084197729273427,9
사진,0.00896303359015402,11
침구,0.00875734607932565,11
아이,0.008668507142752399,12
욕실,0.008598210118322088,11
강력,0.00857424522776788,6
맛있다,0.008520794568601029,6
여자친구,0.008409267082175747,6
거리,0.008395468995477846,7
하루,0.008380090508401772,8
기분,0.008328438699915829,10
프런트,0.008293628496826725,11
아침,0.008291071506606398,8
상태,0.00816755122553032,8
내부,0.008142647336245727,9
저렴하다,0.008138791228865419,5
가면,0.008057790472626853,7
느낌,0.008029023945713497,10
넉넉하다,0.007940275982669262,10
편하다,0.007917242860277045,9
숙박,0.0077059305201330535,6
푹신하다,0.007676600932031188,7
예정,0.00764298041212283,6
정도,0.007414274308630868,7
세면대,0.0073454047649286845,7
방도,0.00732660652534752,6
먹다,0.00716357289831158,8
이불,0.0071394489575843136,8
이상,0.007083403486179166,7
만족,0.0070130786642629605,4
기대,0.006916589325971016,7
응대,0.006840857015201857,7
가족,0.006820495279413717,8
행복하다,0.006766555228726928,6
즐기다,0.006757425839745447,6
놀다,0.0067068800531425365,5
요청,0.006704370393574566,8
보내다,0.006688148998347963,9
맛집,0.006605865471546549,7
쾌적하다,0.0065918455301883835,7
냉장고,0.006558284575249805,9
새다,0.006477611255097805,5
편의점,0.006399853869212874,8
청소,0.006313491152245198,9
덕분,0.006255518446334348,7
대한,0.006176786575581761,7
힐링,0.0061758152671407985,5
꾸미다,0.006147160184652616,5
체크,0.0061168702005325835,9
실내,0.006082667683709236,7
느끼다,0.005901958783098578,6
프론트,0.005899546142146331,7
방음,0.005887993424586348,5
커피,0.005841191727178887,7
샤워,0.005827401361926911,8
좋아하다,0.005811303683072359,4
일본,0.005770323237375217,7
시원하다,0.0057085486222541604,6
수준,0.005646073127845249,4
자주,0.005542117426551852,5
처음,0.005510403266158677,6
갖추다,0.0054210092789601025,6
찾다,0.005398380946651048,5
나쁘다,0.005392514959494776,3
멀다,0.005390483094005706,6
고급스럽다,0.005377486090731151,7
연결,0.005376321245063218,4
소음,0.005362232701933154,7
에어컨,0.005258940265124953,6
냄새,0.0051837831398805385,8
음식점,0.0051764677131520675,3
비싸다,0.005166686187924191,7
온천,0.00510573555144599,4
머무르다,0.005097667480761479,4
식당,0.005039554361595479,4
드리다,0.004991052631999035,4
인상,0.004989002512238713,5
걱정,0.004961025727891141,6
해결,0.00486174698058324,5
크기,0.004833168656260652,3
충분하다,0.004826246072159279,4
추가,0.004813742934400782,6
고객,0.004806713484894701,5
느껴지다,0.00479605005460125,4
평점,0.004712484461708478,4
춥다,0.004702041749882817,4
여름,0.004663138706917945,5
개인,0.0046190999027068795,4
선택,0.004591534729320145,5
보고,0.004576161562369178,5
피로,0.004574324582666974,4
문의,0.0045639610516848015,5
카운터,0.004509151524280497,6
휴식,0.004495527553810774,3
퇴실,0.004344074707384632,5
연인,0.004318603822176923,3
확인,0.004311054626755355,5
배려,0.004280977969063586,4
완벽하다,0.004261514740776121,3
노천,0.004204972678179841,3
날씨,0.0041716329175952365,5
급하다,0.0041684207005797886,3
웃다,0.004140786329272476,3
오래되다,0.004125160590376039,3
갈다,0.004115321673292506,5
필요하다,0.004082853208988262,5
컴퓨터,0.004064221098777535,3
신경,0.004055877796757324,4
기회,0.0040278437268760564,3
위생,0.004020697763313067,7
뜨겁다,0.003948857488711596,4
매트리스,0.003928225977751644,4
남자,0.003920081382727229,3
도보,0.0038905589202850874,3
만족도,0.003869885007009818,4
로비,0.0038678395078912096,4
머리,0.003867574202462092,4
가게,0.0038576573768215197,3
당일,0.0038287617919739183,3
심하다,0.003813437476179112,4
좁다,0.0037880844311076302,5
샴푸,0.0037731477890369514,5
위해,0.0037524900696762216,3
관광지,0.003746408666982258,4
바라다,0.003735254981422979,4
체크아웃,0.0037180832236579447,4
기본,0.003713913351787867,4
덥다,0.003713031266530828,3
보이다,0.0036946072835267797,4
온도,0.0036914428570647825,4
불구,0.0036633306349717573,5
믿다,0.0036574050405192423,3
더욱,0.0036507803470654304,3
창문,0.0036388942551473825,4
새벽,0.0036267852279708995,7
작다,0.0036199496233472296,5
안내,0.0035932874948818,6
입실,0.0035863967375699243,5
전화,0.0035848278495323226,6
넷플릭스,0.003580152853152324,4
여러,0.003579418285332264,3
가보다,0.0035770224237275322,3
경험,0.0035724463409680645,3
신청,0.0035236252561795353,5
부족하다,0.003489064966229126,3
충전기,0.003481639445032786,5
단점,0.0034779356288894784,4
변기,0.0034754498171816325,4
환불,0.003472140229449675,4
머신,0.0034613366796313137,4
훌륭하다,0.0034494455505395902,4
즐겁다,0.003434573546456751,3
적당하다,0.003385531927277849,4
린스,0.0033733959303996835,4
높다,0.003349463016547036,3
미니,0.003315498990617006,4
리뷰,0.0033043808547692953,5
전주역,0.003299504299842087,3
일회용,0.003265333870150229,5
입욕,0.0032602578610892432,3
아이스,0.0032547787891652868,3
추억,0.003237926836937492,3
준비,0.0031837575409887275,3
숙면,0.0031696660218850873,3
쓰다,0.0031324688391039055,4
작고,0.0031254456174916187,3
배달,0.003077161127034072,3
유리,0.0030497679806393845,3
들어가다,0.003031817999214737,4
태도,0.003015821156156194,3
떨어지다,0.00296950427711339,3
건물,0.0029693272671096277,3
간다,0.002963280951056581,3
지역,0.0029156549102503206,3
발견,0.002873660565201288,4
유카타,0.0028644189629599363,3
비다,0.0028491582204961874,3
샤워실,0.002819504466304803,3
내려가다,0.0027907740553015843,3
대비,0.0027812055363957157,3
친절,0.002771837582758772,3
챙기다,0.002766134612413038,3
충전,0.0027459669490931733,3
무료,0.0027254879757418315,3
환풍기,0.0027024454716165582,3
기대하다,0.0026942810745357697,3
이동,0.0026710532158488193,3
때문,0.0026352086323434267,3
식사,0.0026340730544099607,3
비치,0.002619019903068984,3
접근성,0.002592936355685282,3
얇다,0.002527996312675861,3
온수,0.002508391743877593,4
관리,0.002493574064043041,3
담배,0.0024913750520342832,4
레일바이크,0.00247953763727983,3
보기,0.0024783971711615444,3
불친절하다,0.0024777354622706775,3
젖다,0.002466721862521206,3
여기다,0.0023416904308624694,3
이해,0.002335909497998568,4
한잔,0.0023342698504248203,3
테이블,0.0022611754645617955,3
편이,0.0022429236907400307,3
영화,0.00221369776755539,3
평이,0.0021818974995234247,3
워시,0.002167243768763833,3
바디,0.002167243768763833,3
신축,0.0021625936797124603,3
불쾌하다,0.0021213488069133277,3
연락,0.0021071520449193887,4
이렇다,0.0020992827178127793,3
대나무,0.002063273526965787,3
조치,0.002022650455842878,3
