text,label
방은 넓었지만 인테리어는 평범했어요.,-1
욕실에 준비된 어메니티가 고급스러웠어요.,1
숙소 분위기는 무난했어요.,-1
숙소 근처가 너무 어두워서 위험했어요.,-1
방이 넓고 깨끗해서 기분 좋게 지냈어요.,1
정돈 상태는 그럭저럭 괜찮았어요.,-1
인테리어가 고급스럽고 예뻤어요.,1
딱 1박용으로 괜찮은 곳이에요.,-1
방 안에서 담배 냄새가 났어요.,-1
냉장고에서 냄새가 났어요.,-1
수건이 더러워 보였어요.,-1
체크인 시간이 너무 지연됐어요.,-1
침구류가 깔끔하고 푹신해서 만족했어요.,1
건물 외관부터 고급스러운 느낌이었어요.,1
침대 시트가 축축했어요.,-1
온돌방이 따뜻해서 숙면을 취할 수 있었어요.,1
밤에 약간 추웠지만 참을 만했어요.,-1
위치가 외지고 찾기 힘들었어요.,-1
전주 여행 중 가장 만족스러운 숙소였어요.,1
어린아이와 함께 지내기에도 안전했어요.,1
에어컨이 잘 작동해서 시원했어요.,1
이불에서 먼지가 날렸어요.,-1
아늑하고 따뜻한 분위기였어요.,1
방문이 덜 닫혀서 찬 바람이 들어왔어요.,-1
기대하지 않으면 만족할 수 있는 수준이에요.,-1
분리형 욕실이라 쾌적했어요.,1
주변이 조금 어두운 느낌이 있었어요.,-1
냉방이 좀 강했지만 조절 가능했어요.,-1
기본적인 조명은 있었어요.,-1
방 안에 벌레가 나왔어요.,-1
방마다 콘센트가 많아서 충전 걱정 없었어요.,1
접근성이 나쁘진 않았어요.,-1
주차장이 멀긴 했지만 있었어요.,-1
이불이 폭신폭신해서 좋았어요.,1
오래된 건물이지만 청결은 유지됐어요.,-1
특별한 점은 없었지만 기본은 했어요.,-1
가성비 최고의 숙소였어요!,1
방 내부에 먼지가 많았어요.,-1
화장실에 거미가 있었어요.,-1
특별한 서비스는 없었어요.,-1
조식은 안 먹어서 잘 모르겠어요.,-1
아침에 소음이 조금 있었어요.,-1
편안한 음악과 조명 덕분에 휴식이 잘 됐어요.,1
사진이랑 비슷한 수준이었어요.,-1
야경이 멋져서 사진을 많이 찍었어요.,1
휴지통이 비워져 있지 않았어요.,-1
휴게 공간이 넓어서 좋았어요.,1
엘리베이터가 느리긴 했지만 괜찮았어요.,-1
도어락이 고장 나 있었어요.,-1
방의 조명이 약간 어두웠어요.,-1
에어컨 리모컨이 작동 안 됐어요.,-1
주변이 시끄러워서 집중이 안 됐어요.,-1
체크아웃 시간도 여유 있어서 좋았어요.,1
침대가 너무 딱딱했어요.,-1
침대에서 머리카락이 나왔어요.,-1
조명이 너무 어두워서 불편했어요.,-1
불편한 점은 없었지만 특별히 좋지도 않았어요.,-1
가격도 그렇고 다 적당했어요.,-1
근처 관광지랑도 가까워서 이동이 쉬웠어요.,1
화장실 용품이 조금 부족했어요.,-1
인근에 편의점이 있는 점은 좋았어요.,-1
엘리베이터가 있었으면 더 좋았을 텐데요.,-1
방마다 향기가 달라서 색다른 경험이었어요.,1
방음이 완벽하진 않았어요.,-1
다시 올지는 모르겠지만 큰 불만은 없어요.,-1
화장실 문이 잘 닫히지 않았어요.,-1
침대 옆에 콘센트가 없었어요.,-1
포토존이 많아서 사진 찍기 좋았어요.,1
침대 위 쿠션이 폭신하고 예뻤어요.,1
접근성이 아주 좋지도 나쁘지도 않았어요.,-1
화장실이 약간 좁지만 쓸 만했어요.,-1
이불에 얼룩이 있어서 찝찝했어요.,-1
숙소 위치가 너무 외졌어요.,-1
불편한 점이 너무 많았어요.,-1
청소 상태가 완벽해서 기분 좋게 머물렀어요.,1
벽난로가 있는 휴게 공간이 너무 아늑했어요.,1
전기 콘센트가 고장 나 있었어요.,-1
보통 그 자체였습니다.,-1
사진과는 너무 달라서 실망했어요.,-1
친구들에게 추천하고 싶은 숙소예요.,1
침대가 포근하고 잠자리가 편했어요.,1
가격대비 적당한 수준이라고 생각해요.,-1
화장실 수압이 약간 아쉬웠어요.,-1
엘리베이터가 없어서 힘들었어요.,-1
방에서 나오는 햇살이 너무 따뜻했어요.,1
에어컨이 고장 나서 더웠어요.,-1
여행 피로가 풀리는 힐링 숙소였어요.,1
전통 한옥 느낌이 잘 살아있었어요.,1
전체적으로 나쁘지 않았어요.,-1
전체적으로 무난한 숙소였다고 생각해요.,-1
청소하시는 분도 친절하게 인사해주셨어요.,1
슬리퍼가 낡고 더러웠어요.,-1
