,text,label
0,우선 실수로 예약을 잘못했는데 여기어때 고객센터 측과 원만하게 대화에 응해주시고 서비스 제공해주신 점에 대해서 무척 감사하다는 말씀을 드리고 싶습니다 업체측 덕분에 좋은 시간을 보내서 진짜로 좋은 하루가 되었습니다 하지만 좋은 이야기만 쓰고 싶었지만 도저히 아쉬운 부분에 대해서는 꼭 아셨으면 해서 리뷰 남깁니다 우선 체크인했을 때 바닥에 물기가 마르지 않았고 창문도 열려있는 상태인 점이 마치 청소한 지 얼마 안 된 것 같아 보였는데 베개 밑 매트리스 커버엔 기름자국으로 추정되는 오염이 있었고 빨래가 덜 마른듯한 물비린내가 진동했어요 가지고 있던 향수를 뿌려보았는데도 나아지긴 커녕 조금 힘들 정도로 많이 났어요 제 개인적인 요청에도 긍정적으로 받아주셔서 진짜로 감사했습니다 다만 위에 말씀드린 부분에 대해서는 다른 방은 어떨지 모르겠지만 개선이 필요해 보여요,1
1,주말 가격이 좋습니다 큰 기대없이 하룻밤 지내기에는 좋은 숙소입니다,1
2,잘 쉬고 잘 자고 갑니다,1
3,모텔알바들이글을적나솔직하게글올리겠습니다 그냥 모텔이라기보다장급여관정도라보시면됩니다 가격은평일만원 여기야회원가격그런거없습니다 여기요금표자체 회원가격원이라고적혀있지만사실이아닙니다 또한 방자체도 엄청작아 침대빼고움직일공간없다고보시면됩니다 컴터두대는맞습니다 다른곳에비해 빠르긴합니다 욕실 서서씻기엔 상당히작아서 힘들구요 욕조 어른들어가기힘들어요 중학생이상힘들어요 발도못핍니다 전체적으로 판단해보면 장점다른모텔보다입실시간이빠르다 오후시입실가능 컴퓨터가 조금빠르다 단점공간이 완전좁다타모텔일반실보다적다 침대빼고 움직이기자체가힘들다 욕실서서씻기도힘들다 여관욕실도이보다크다 욕조 중학생이상은들어가서씻기힘들다 여기어때나온내용과다른점 가격회원가격그딴거없다 컴터와간격상당히좁아 두개동시할시 신경무척쓰인다 총평가 비추천 차라리평일대비 타모텔추천,0
4,방이너무춥고 여관같았어요 벽에 곰팡이쓸어있고 사진과는 너무 달라요,0
5,장점 객실 사진이랑 똑같음 단점 호만 그러는지 모르겠으나 에어콘 진심 교체하셔야 될거 같아요 심각함 낮기온 도가 넘는 이더위에 에어콘 한번 켰다가 충격받음 달달달달 경운기 소리가 도대체 에어콘에서 어떻게 그런소리가 날수 있는거죠 도로 놨다가 도 도로 올려도 그대로임 그리고 필터청소도 안했는지 썩은내가 진동해서 분도 못켜놓고 바로 껐네요 층이라 그런지 수압도 약하고 따뜻한물 시원한물 둘다 약함 큰베개에서 약간의 담배냄새는 덤 에어콘때문에 다신 가고싶지 않네요 아 티비랑 컴퓨터 연결도 잘 안되요 컴퓨터 본체 각도에 따라 티비 연결이 끊길수도있음,0
6,가격이 저렴한 숙소입니다 가성비는 최고라 할 수 있어요 간식으로 한강라면을 무료로 재공하고 있으면 원두커피가 무료 그리고 캔음료도 층에서 추가로 재공하고 있어 방에 입실전 챙겨서 올라가세요 인테리어는 최신식은 아니지만 그럭저럼 평범한 수준이고 수압과 온수는 빵빵한 상태입니다 이불과 시트는 중상에 우수한 상태였으며 초대형 로 넷플릭스 시청했는데 영화관 처럼 현실감 있어서 매우 흡족했던 경험이였습니다 화장실 상태는 중하로 지저분한 모습은 아니지만 인테리어 업그레이드가 가장 필요한 부분이 아닐까 조금 아쉬움시 있었습니다 하지만 가성대 대비 매우 우수한 부분으로 강력 추전 합니다,1
7,최악의 숙소 였습니다 청결 최악 여기저기 체모 화장실은 막혀있고 수건 냄세나고,0
8,딱히 그럭저럭이요 다른 곳은 아이 명 있어도 돈 더 내란 말 안하시는데 여긴 돈 내야된다며 받지는 않았지만그 소리를 왜 하는지 기분 별로 또 층 물 마시라고 놓으신거 아닌가요 마셔도 되냐니까 기분 나쁘게 개만 가져가세요 냉장고에 어떠한 음료 하나도 없으면서 물 먹는것도 눈치 봐야하는지 별로였습니다,0
9,객실 컨디션은 보통 욕실 컨디션은 좋습니다 외부와 차단이 잘 되는 편 패트리스는 라텍스 같습니다 연박 이용했는데 만원 추가된다고 합니다 여기어때에 설명 나와있다고 했는데 혹시나 해서 찾아봤는데 어디있나요 다음날 또 여쭤보니 이용안내에 있다고 얼버무리던데 이용안내에도 안나와있고사진첨부 도착당일 취소할 수 없어 울며겨자먹기로 결제했습니다 만원 더 차징한게 불쾌한게 아니라 사전설명없이 도착했는데 당연하단 식으로 대응하는게 불쾌했습니다,0
