accommodation,긍정,부정,total,긍정_ratio,부정_ratio,중립,중립_ratio,긍정_예시,부정_예시,중립_예시
라한호텔 전주,249,35,284,87.7,12.3,0,0.0,"['총평 아름다운 한옥마을뷰를 자랑하는 전주 최고의 라한호텔 전주 위치 라한호텔 위치는 전주 한옥마을 전체를 볼 수 있는 한옥마을 한가운데 있으며 차량으로 전주역에서는 분 고속버스터미널에서는 분 거리에 있습니다 주차장은 지상과 지하 층으로 되어 있는데 지하 층으로 내려가니 주차하기 좋았습니다 룸 컨디션 시 분전에 도착을 하여 웨이팅 등록을 하고 나니 바로 체크인을 할 수가 있었습니다 숙박한 객실은 패밀리 트윈 한옥뷰 룸으로 약 평정도 되는 객실에 더블베드가 개 있으며 객실 바닥이 마루 바닥이라 좋았습니다 객실은 비교적 높은 고층으로 한옥뷰가 좋았으며 깔끔하고 조용 했습니다 부대시설 부대시설은 층과 층 지하 층에 있습니다 층엔 조식당 더플레이트와 북스토어카페 전주산책 그리고 웨딩홀이 있있었습니다 층엔 루프탑 야외수영장과 카페테리아 하녹당이 있고 지하 층엔 피트니스 사우나가 있었습니다 종합 달전에 여기어때 오픈런에 나온걸 보고 이번 벚꽃 여행은 전주로 선택 예약 했었습니다 오픈런 혜택으로 시티뷰에서 한옥뷰를 받았고 객실에서 바라 본 한옥뷰는 아름다웠습니다', '전주 라 한 호텔은 이번에 번째 방문인데 역시 만족했습니다 위치가 한옥마을 내에 있어서 진짜 좋습니다 주차해놓고 체크인하고 짐 던져놓고 나가서 걸어 다니면서 한옥마을 실컷 구경하고 먹고 놀다 들어오면 최고예요 호텔 옆에 편의점도 군데 있어서 그 부분도 만족스러워요 호텔 바닥이 마루라서 청결하고 청소도 깔끔하게 되어있었어요 침대 편해서 잠도 잘 잤습니다 한옥마을 뷰로 하고 뷰 보면서 구경하고 멍 때리는 것도 너무 좋아요 해 질 녘 풍경도 놓치지 말고 꼭 보세요 다양한 볼 수 있는 티브이라 볼 것이 풍족했습니다 다음 번 또 재방문 의사 있습니다']","['객실 온도조절이 안됨 더워서 이틀 동안 잠을 못 잤음 낮에는 최저 온도를 맞춰서 도 특히 새벽에는 도가 넘음 겨우 잠들었다가 너무 더워서 새벽 시에 확인해 보니 도 저온도 도저히 잘 수가 없어서 연락하면 바깥 온도가 도미 만일 때는 에어컨이 가동되지 않는다는 말만 하고 최소 실내 온도가 이상일 때는 에어컨이 작동되게 해주셔야지 고장 아니냐고 해도 아니라고만 함 다만 프런트 직원은 미안하다고 기계실에 말해도 안 해준다고 하심 프런트 직원분은 친절하십니다 매년 회 이상 방문하는데 작년만 해도 번 방문 이렇게 더워서 못 잔 적은 처음입니다 둘째 날 방을 바꿔주셨는데 침대가 좁아서 저희한테는 메리트가 전혀 없는 방인데 그래도 트리플룸보다는 시원했음 새벽에 더운 건 똑같네요 선풍기를 틀고 창을 열어도 너무 더움', '한옥 뷰 조식 짱짱']",
베스트웨스턴 플러스 전주 호텔,1086,312,1398,77.7,22.3,0,0.0,"['아들이랑 둘이서 축구보고와서 씻고 잠만잘거라 가성비좋은 베스트웨스턴플러스 호텔입니다 베스트웨스턴플러스호텔은 한옥마을객리단길이 도보로 분거리라 저녁에 식사겸 산책겸 걸어가기 딱 좋은 거리입니다 로비에 한옥스타일로 사진찍기좋은 인테리어라 첫인상이 참 좋아요 체크인 시 체크아웃 시 입니다 시 넘어서 도착체크인진행했는데 주차하는데 문제없었네요 아들이랑 편하게 잘려고 트윈룸으로 예약한걸 너무 만족했어요 전체적으로 깔끔합니다 어메니티 바디워시샴푸린스준비되어있고 나머지는 준비해서 가시거나 로비편의점에서 따로 판매하는거같아요 화장실이 넓지는 않지만 샤워부스로 분리되어있어 큰 불편없어요 커피포트간단한 티커피머그컵이 준비되어있어 편의점에서 컵라면도 야무지게 하나먹기 좋아요 책상이랑 스탠드도있어서 야식먹기에 활용하기 좋았어요 침대에 누워 편하게 보다가 하루 푹피로 풀기좋은 가성비접근성친절함깔끔함을 다 갖춘 넘버 숙소입니다 전주여행시 참고하세요 엘베가 대라 아침 체크아웃시간에 엘베타기 넘힘들어요층이라 계단이용했네요 볼륨이 최대치로해도 너무 작아요 조명이 살짝 어두운편이에요', '여기는 전주에서 자주 이용하고 있는 최고의 호텔 인정합니다 여러분들도 가성비 최고의 성급이 가진 여러 가지를 느끼시기를 기원하며 장점을 나열하도록 하겠습니다 주변의 관광지가 너무 많습니다 가성비 최고입니다 친절하신 대응이 최고입니다 너무 고맙습니다 수압이 너무너무 훌륭합니다 주차장 넓습니다 주변 맛집이 많습니다 외국인들의 관광객이 많아 이국적인 느낌을 느끼기에 최고입니다 다만 너무 많아 엘리베이터 대기시간이 조금 길지만 참을만합니다 주변의 소음이 없어 쉬기에 안성맞춤입니다 언제나 감사드립니다']","['한옥마을과 거리는 조금 되지만 그렇다고 걸어가기 어려운 거리는 아닙니다 조식이 포함된 방이었는데 깔끔하게 잘 준비되어 선택하길 잘한 것 같습니다 호텔 바로 근처에 편의점은 없고 조금 나가야 합니다 객실 청소나 청결 상태는 아주 양호했습니다 주차장도 널찍하니 언제든 쉽게 주차할 수 있습니다 다만 늦게 도착하면 지하 층까지 내려가야 할 수도 있습니다 체크인 때 직원분이 처리해 주시는 시간이 너무 길다는 생각이 들었습니다 욕실 깨끗하고 온수난방 등 좋습니다', '한옥마을에서 조금 먼 곳에 위치하여 뚜벅이 여행 시 어려움이 조금 있었습니다 그런 점을 제외하고 무척이나 마음에 드는 숙소였습니다 한 가지 단점을 뽑자면 처음 체크인하고 입실했을 때 화장실 청소 상태가 불량했습니다 이런 점을 제외하고는 너무 좋은 숙소였습니다 한옥마을에서 조금 먼 곳에 위치하여 뚜벅이 여행 시 어려움이 조금 있었습니다 그런 점을 제외하고 무척이나 마음에 드는 숙소였습니다 한 가지 단점을 뽑자면 처음 체크인하고 입실했을 때 화장실 청소 상태가 불량했습니다 이런 점을 제외하고는 너무 좋은 숙소였습니다']",
솔 호텔,253,53,306,82.7,17.3,0,0.0,"['침대 뒤로 창 나있는 게 따스해서 기분 좋았습니다 소파도 푹신하고 침대랑 소파 단차 있는 게 고급스러운 느낌이에요 화장실에 어메니티는 일회용 같은 튜브 형식이라 위생적일 거 같아서 좋았네요 그리고 세면대가 따로 있는데 그게 생각보다 편해서 좋아요 일어나서 가볍게 양치나 세수하기 좋더라고요 사우나 방이라 그런가 사우나 나무 향 은은하게 납니다 숙소 가면 항상 슬리퍼 신는데 여기는 샴푸린스 말고도 슬리퍼가 일회용이라 얇고 불편하더라고요 뭐 그럭저럭 신었습니다 조식은 프런트에 신청했는데 아침에 내려가니 사람 없어서 그냥 나왔습니다 대신 커피나 한 잔 뽑아서 마셨네요 로비에 커피 머신 있으니 커피 드세요 맛남요', '전주 출장으로 인해 처음 방문했습니다 여기저기 찾아보다가 평이 좋아서 방문하게 되었습니다 처 선택하게 된 계기는 미니 사우나가 있어서 선택했습니다 가격도 적당하고 미니 사우나 가 있기에 반신반의하며 방문했습니다 처음 도착하고 느낀 거는 너무나도 깔끔하고 청결했습니다 피곤한 상태여서 간단하게 샤워하고 미니 사우나를 했습니다 이게 정말 되는 건가 생각했는데 정말 생각한 것 이상으로 좋았습니다 제대로 땀을 빼고 푹신한 침대에서 바로 뻗어서 꿀잠을 잤습니다 다음에도 재방문 의사입니다']","['전주 한옥 마을 근처로 숙소를 찾다보니 신축이고 가격도 착해서 트윈 베드로 했어요 입소시 사진 촬영을 깜빡해서 퇴실시 사진을 부랴 부랴 촬영해서 처음 느낌은 아니지만 수건 개 대형 타올 개 세면도구 욕실타올 바스 샴푸린스 샤워 가운도 비치되어 있어요 냉장고는 진짜 작아요 생수 병 들어 있고 냉동고 없어요 여름이라 에어컨 없이 못사니 사우나가 있어도 틀어보지도 못했어요 겨울에 가면 좋을듯요 에어컨 냄새인지 뭔가 살짝 냄새가 나서 신랑이 에어컨 필터도 확인해 보고 했는데 필터도 깨끗해요 뭐가 문제인지 아무튼 저는 냄새가 나긴 했어요 그리고 주변에 편의점도 많고 식당도 많아요 모텔이랑 호텔도 많고 신랑이 여기 숙소들이 러브 호텔인거 같다며 저희는 아이랑 같이 왔는데 젊은이들이 많이 와야 하는 곳인가봐요 사진 촬영을 못했지만 아침 조식 서비스 햄에그 샌드위치도 맛있었어요 그리고 층 로비에 커피 머신기에 제빙기가 있어서 퇴실하면서 텀블러에 아이스 아메리카노 내려 왔는데 커피가 아주 맛나더라구요 전주 한옥마을도 분거리고 레일바이크 타는 곳도 코앞이라 좋았어요 여기는 연인이 가면 좋을 듯해요 잘 쉬다 갑니다', '청결과 시설은 마음에 들었습니다 하지만 조식과 관련된 정보를 프런트에 문의드렸는데 응대가 좀 불친절했네요 아쉬웠습니다']",
완주 스페이스셔틀 전주,12,0,12,100.0,0.0,0,0.0,"['기대 이상입니다 일단 결과부터 말씀드리자면 사장님 굉장히 친절하시고 객실 청결도 도 훌륭한 수준입니다 큰 기대 없이 개월 아기랑 가족여행 갔는데 생각보다 너무 좋았습니다 캠핑카를 개조한 것 같은데 일반 카라반에 비하면 정말 넓고 쾌적하고요 동에서 투숙했는데 방이 개인 구조였습니다 명씩 명까지 잘 수 있을 구 조더라고요 에어컨도 개 달려있고 아이가 있다 보니 객실 청소 상태도 유심히 보는 편인데 훌륭했습니다 개인 바비큐장이 바로 붙어 있어서 프라이빗하게 비비큐 즐길 수 있고요 그릴도 정말 좋더라고요 그리고 무엇보다 친절하신 사장님 덕에 정말 기분 좋게 쉬다 올 수 있었습니다 아 수영장도 널찍해서 아이랑 같이 물장구 좀 쳤습니다 재방문 의사 당연히 있고요 다음엔 박 이상으로 계획 잡고 와야겠습니다', '방이 두 개인 줄 알고 갔는데 거실에 소파침대가 방 하나의 개념이네요 오픈한 지 얼마 안 돼서 시설 자체는 깔끔해서 좋았어요 방안에 스타일러도 굳굳 바비큐 룸도 따로 분리되어 있고 안에 에어컨도 있어서 냄새나 더위 신경 안 쓰고 좋았습니다 블루투스 스피커 대여도 놀기에 좋았네요 다만 인 기준 조회했을 때 방이 나오길래 예약한 건데 이 기준이라 추가금이 발생합니다 참고하세요 일 인당 만 원이라 좀 비싼 거 같아요 커플 인분들에게 최고일 듯 전주 근교라 가깝고 시설도 좋아서 추천드려요']",,
전주 관광호텔,1158,592,1750,66.2,33.8,0,0.0,"['숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 주차장도 넓고 괜찮았어요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 다음에 또이용할게요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 주차장도 넓고 괜찮았어요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 다음에 또이용할게요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 주차장도 넓고 괜찮았어요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 다음에 또이용할게요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 주차장도 넓고 괜찮았어요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 다음에 또이용할게요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 주차장도 넓고 괜찮았어요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 다음에 또이용할게요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 주차장도 넓고 괜찮았어요 숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 다음에 또이용할게요 사장님 번창하시길 바랍니다 다음에 또이용할게요 사장님 번창하시길 바랍니다 다음에 또이용할게요 사장님 번창하시길 바랍니다 주차장도 넓고 괜찮았어요숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 주차장도 넓고 괜찮았어요숙소가 깔끔하니 좋았어요 컨디션도 좋았구요 다만 모기가 두마리 있어서 밤새 뜯 그거말곤 편안히 잠도 잘자고 좋았습니다 주차장도 넓고 괜찮았어요다음에 또이용할게요 사장님 번창하시길 바랍니다 다음에 또이용할게요 사장님 번창하시길 바랍니다 다음에 또이용할게요 사장님 번창하시길 바랍니다 다음에 또이용할게요 사장님 번창하시길 바랍니다 다음에 또이용할게요 사장님 번창하시길 바랍니다', '전주를 일 년에 몇 번씩 가지만 한옥마을 근처에 이렇게 숙소를 잡은 게 첨인듯하다 근처를 돌아다니다 한 번씩 본 거 같은데 시내랑 근처라 접근성이 너무 좋았다 특히 직원들의 친절함도 최고였다 콘센트가 짧아 에어컨이 애매했지만 직원이 올라와 신속 정확하게 슈슈슉 연결해 주는 센스 특히 숙박의 젤 중요한 먹거리 근접성 그리고 주차는 최상이었다 건물 뒤편에 대 이상 정도의 주차장과 건물 앞 도 대 정도의 주차라 널찍하게 주차할 수 있으며 맥줏집도 걸어서 분 안에 한옥마을도 그리고 시내 먹자골목도 모두 소화되기 때문에 완벽한 거리 편의성을 보여주었다 리셉션은 일찍 닫는 편이라 늦게 오시는 분들은 꼭 전화를 해서 소통하는 게 좋을 듯하다']","['가성비가 매우 좋은 숙소였습니다 수압도 적당하고 난방도 잘 돼서 푹 잘 수 있었습니다 침대가 엄청 넓은 게 가장 큰 메리트이지 않을까요 여유로운 크기라서 불편함 없이 잘 이용했어요 다만 세면대 아래로 물이 빠져서 순간 당황했어요 물론 이용하는 데에 부족함은 없었지만요 화장대라고 해야 하나 거기가 살짝 청소가 덜 되었다는 느낌은 들었습니다 서랍도 열어서 청소해 주시면 어떨까 싶어요 어차피 티브이를 보지는 않았지만 티브이가 거울을 가려서 조금 불편할 수 있을 듯합니다', '숙소 규모는 큰 편이네요 로비도 넓은 편이고 인테리어나 기타 시설들 불편한 점도 딱히 없고 주차장도 주차하기 괜찮은 편이며 전체적으로 가성비 훌륭한 호텔이네요 주변에 먹거리 등 번화가 쪽이어서 걸어나가면 구경거리도 많고 먹거리도 많고 위치도 좋아요 방 크기는 크지도 너무 작지도 않지만 침대 사이즈는 커서 숙면하는 데 도움이 되네요 침구류도 포근하고 개별난방이라 따뜻하고요 한 가지 아쉬운 건 청결은 전체적으로 깨끗했으나 침대 위 먼지 제거 등 디테일하게는 청소가 안 된 것 같아요 그리고 방음이 살짝 아쉽네요 옆방인지 말소리가 들려요 그래도 가성비를 따지면 괜찮은 호텔입니다']",
전주 노이 호텔,292,107,399,73.2,26.8,0,0.0,"['제가 정말 애정하는 호텔입니다 일 때문에 정말 많이 이용하고 있습니다 가격도 주변 대비 저렴한 편이고 정말 큰 티브이와 각 방마다 스타일러 있고 물이며 음료며 넉넉하게 구비되어 있습니다 특히 청소상태가 좋은 편입니다 화장실 청소상태가 항상 좋고 침대커버와 베개커버도 항상 매일 교체하는 거 같습니다 주차장은 협소한 편이라 근처 대로변이나 도보 분 거리에 공용 무료 주창에 주차하고 가시는 걸 추천드립니다 아니면 퇴실 일찍 하실 때 매우 힘드실 수 있어요 엄청 좁거든요 그 외 어 완벽한 곳입니다 만족스럽습니다', '우선 가장 인상 깊었던 점은 카운터 보시는 분이 굉장히 친절하셨습니다 그래서 차적으로 기분이 좋았고요 방에 들어갔는데 굉장히 산뜻해서 차적으로 기분이 좋았습니다 또 청결하기도 하고요 욕실에 샴푸랑 보디워시도 냄새가 좋았습니다 침대도 일반 모텔보다는 큰 거 같았습니다 방 크기랑 인테리어는 전체적으로 심플합니다 아 개인적으로 조명이 좋더라고요 주차에 관해서 말하자면 주차장 크기는 평범하다고 보시면 됩니다 다음에 또 재방문 의사 있습니다 좋네요']","['점수 기준 점최하 점수 점 아쉬운 점수 점이 아주 만족 주차 장점 서비스 친절도 점 객실 청결도 점 욕실 화장실 만족도점 물이 미지근하고 욕실 조명 어두움호 욕실용품 각종 어메니티 만족도점 침대 매트리스 만족도점 침구류 청결도 점 냉장 고점 방음점 냉 난 박점 티브이 크기점 각종 만족도점 컴퓨터 사용 만족도점 실내조명 만족도점 재방문의 사 점', '점수 기준 점최하 점수 점 아쉬운 점수 점이 아주 만족 주차 장점 서비스 친절도 점 객실 청결도 점 욕실 화장실 만족도점 욕실용품 각종 어메니티 만족도점 침대 매트리스 만족도점 침구류 청결도 점 냉장 고점 방음점 냉 난 박점 티브이 크기점 각종 만족도점 컴퓨터 사용 만족도점 실내조명 만족도점 재방문의 사 점']",
전주 더케이,237,57,294,80.6,19.4,0,0.0,"['가격 대비로 일단 정했는데 잘한듯합니다 일단 가시면 모텔 모텔이 있는데 두 군데 같이 운영을 합니다 그래서 카운터는 큐 모텔에서 받아야 합니다 주차장은 두 군데 다 써도 됩니다 될 때가 없으면 차를 대주 시기도 합니다 방은 깨끗합니다 티브이도 커요 넷플도 되고요 컴퓨터도 빨라요 침대 이불도 호텔식 두꺼운 거를 쓰시네요 욕조도 있어서 좋고요 냉장고에는 물 두 개 있네요 다른 음료는 없고 믹스커피는 안 보였어요 댓글처럼 물 수압이 세서 아팠어요 뜨거운 물 갑자기 나올 수 있으니 조심하세요 저는 다음도 이용할 겁니다', '출장 시 가끔 들리는 곳이에요 이모님이 친절하셔서 주 중 한두 번 이용하고 있어요 컴퓨터 스타일러 잘 작동되고 혼자 사용하는 데는 가성비로 봤을 때 괜찮은 곳이에요 다음에 또 이용할게요 출장 시 가끔 들리는 곳이에요 이모님이 친절하셔서 주 중 한두 번 이용하고 있어요 컴퓨터 스타일러 잘 작동되고 혼자 사용하는 데는 가성비로 봤을 때 괜찮은 곳이에요 다음에 또 이용할게요 출장 시 가끔 들리는 곳이에요 이모님이 친절하셔서 주 중 한두 번 이용하고 있어요 컴퓨터 스타일러 잘 작동되고 혼자 사용하는 데는 가성비로 봤을 때 괜찮은 곳이에요 다음에 또 이용할게요 출장 시 가끔 들리는 곳이에요 이모님이 친절하셔서 주 중 한두 번 이용하고 있어요 컴퓨터 스타일러 잘 작동되고 혼자 사용하는 데는 가성비로 봤을 때 괜찮은 곳이에요 다음에 또 이용할게요']","['오랜만에 저녁 먹고 케이 모텔에 들렸는데 변함없이 가격대도 유지해 주셔서 정말 감사합니다 칫솔이나 치약은 구비되어 있으며 물도 두 개 구비되어 있네요 근처 맥도날드나 먹자골목이 있어서 놀러 오신 분들은 케이 강추 드립니다 요즘 자주 가지 않아서 계속 방문해야겠네요 바로 앞에 씨유 편의점도 있어서 편의점 찾아다니는 고생하지 않아도 됩니다 그리고 무엇보다 스타일러가 준비되어 있어서 고기나 냄새 있는 음식 드시고 스타일러 이용하시면 될 것 같습니다 재방문할게요', '사진과 시설 동일하고 방도 넓고 침대도 커서 좋았어요 샤워시설도 수압이 아주 좋고 온수 콸콸 나와요 티브이 크고 고데기와 드라이기 어메니티도 있을 거 다 있어요 다만 청소한 지 얼마 안 됐는지 들어오자마자 화장실과 방에 락스 냄새가 진하게 났습니다 창문 열어 환기하고 시간 정도 되니 냄새에 좀 적응됐지만 여전히 냄새는 났어요']",
전주 라베 호텔,460,59,519,88.6,11.4,0,0.0,"['깔끔하고 푹신한 침대 금연 객실이라 더욱 믿음이 갑니다 하루 종일 일하고 샤워할 수 있는 욕실이 있어 좋고 하루의 피로를 한방에 날려보내면서 편안하게 쉴 수 있는 아늑한 공간이라 더욱 좋아요 바쁜 아침 출근 전 간단하게 커피와 신선한 제철 과일 먹고 기분 좋게 하루를 시작할 수 있어 더욱 행복함과 만족함이 두 배로 느껴지는 라베 호텔 좋아요 아쉬운 점은 늦게 입실하다 보니 주차장이 좁아서 조금 불편한 건 사실입니다 하지만 요즘 차가 늘어나는 추세라 이 부분은 우리 모두가 고민되고 생각해 보게 되는 부분이에요 정말 기쁨 편안함 두 배 라베호텐입니당', '전주 장기 출장 중이어서 전주 시내 여러 숙소를 이용 중인데 라베 호텔이 깨끗하고 시설이 좋은 것 같습니다 주차장이 좁은 게 아쉽지만 사장님께서 친절하게 안내해 주셔서 어려움 없이 이용 가능했습니다 리뷰가 높은 이유가 있네요 화장실 침구 등 객실 청결 전혀 문제없었고 방음 빵 온도 등도 전혀 문제없어 잘 쉬었다 갑니다 다음 주에도 출장 예정인데 다시 이용할 생각입니다 샴푸린스 보디워시도 일회용이어서 더 위생적으로 느껴졌습니다']","['재방문 의사입니다 요즘 조식이 더 알찬 구성으로 준비되어 있어 간단하게 즐길 수 있습니다 스타일러 공기 청정기가 기본이고요 생각해 보니 방음 시설도 잘되어 불편함을 느낀 적이 없는 것 깉습니다 간혹 위층에서 의자 끄는 소리가 들리기는 하지만 그건 숙박하는 손님이 조심해야 할듯합니다 이번 월에도 번 숙박했고요 앞으로도 전주 방문하면 될 수 있으면 라베를 이용할 생각입니다 주중 가격도 저렴해서 숙박 일 전에 미리 예약하시면 좋아요', '오랜만에 들린 곳 역시나 사람들 더 많고 괜찮았던 남자친구가 좋아함요 침대가 굳굳']",
전주 마리 덕진공원점,327,79,406,80.5,19.5,0,0.0,"['전북대학교 캠퍼스 옆 덕진공원 근처에 자리하고 있어요 주차장이 여유 있고 주변에 음식점 등 상가가 많아 편리한 곳이에요 복도를 지나 방에 들어가니 크기랑 시설이 괜찮았는데 담배 냄새가 나서 사장님께 연락드렸더니 친절하게 바로 오셔서 다른 방으로 바꿔 주시면서 이것저것 확인해 주셨고요 화장실과 욕실이 분리되어 있어 편리했고 방음도 잘되어 편하게 쉬었습니다 아침에 간단한 조식이 변동의 공간에 마련되어 있어서 이용 잘했습니다 조식 후 가까운 덕진 공원 산책으로 힐링하게 되어 좋은 숙소로 기억됩니다', '전주 삼천동 막걸리 골목에서 맛있는 식사를 하고 여기 어때를 통해 묵을 숙소를 찾던 중 특가 원에 사진으로도 훌륭한 방을 찾고 와이프와 하루를 묵었는데 아내도 대만족 저도 대만족입니다 방은 특실과 다름이 없었는데 배스 룸에 비데와 욕조가 있어서 더 감사했던 것 같습니다 늘 애용하는 여기 어때를 통해 매번 저렴하게 아주 좋은 평점의 숙소를 싼 가격이나 경제적인 비용으로 매번 이용하니 우리 일상의 아주 좋은 애플리케이션이라 여겨집니다 전주 마리 호텔 덕진공원점 감사하게 잘 이용했습니다 감사합니다 강추']","['이용객실호 위치 조금 나가면 전북대 위치라 먹거리 많음 시설 무료 시청 가능하다고 했는데 그 방은 누가 로그아웃 한 건지로는 안됐음 화장실과 욕실이 분리되어 있음 조식 코너에 토스트 시리얼 볶음밥 한강 라면 이 구비되어 있어 좋음 청결 바닥에 별도의 이물질 없으며 눈에 보이는 더러움 없음 주차 주차장이 있는데 그렇게 크지는 않으나 숙소 앞 길가에 주차 가능하여 어려움 없을 것으로 판단 전체적으로 만족할 수준 총점점', '골목길에 위치해 찾기는 좀 애매해요 네비 있음 상관없겠죠 시설도 좋고 깨끗한데 새벽에 옆에서 들리는 듯 문소리가 크게 들려 깜짝 놀랐네요 갑자기 온 거라 낯선 곳인데 소리 때문에 새벽에 나왔어요 방음 부분이 미흡한 듯 요']",
전주 마리 터미널점,1597,284,1881,84.9,15.1,0,0.0,"['객실 청결상태 매우 우수했고 침대가 아주 편해서 숙면을 취할 수 있었습니다 욕실도 물 때 하나 없이 깨끗하고 수건이 폭신폭신해서 기분 좋았어요 에어컨 작동도 정상이고 티브이 화질 좋고 냉장고 정리도 깔끔했어요 소음 없고 주차도 편리해서 좋았습니다 직원분들도 친절하고 응대가 빨라서 불편함 없이 지낼 수 있었습니다 전반적으로 만족스러운 숙박이었고 다음에도 다시 이용하고 싶다는 생각이 드네요 좋은 가격에 좋은 서비스까지 받아서 기분 좋게 머물렀습니다', '급하게 리뷰만 보고 잡은 숙소였는데 너무 만족합니다 전주에서 최고인듯합니다 룸은 조용하고 침대로 적당히 푹신했고 화장실도 청결했습니다 주차는 편하게 주차했고 도 엄청난 크기였습니다 주변에 먹을거리 많습니다 전일 갑오 전체적으로 호텔 관리나 서비스도 친절하시고 좋은 기분을 느낀 숙소입니감사합니다 담번에 재방문 하고 싶네요 전체적으로 호텔 관리나 서비스도 친절하시고 좋은 기분을 느낀 숙소입니']","['해당 지역 첫 방문해서 하루 자는 방 콘택트 중 우연히 찾게 된 숙소로 만족스러운 모텔이었습니다 물론 여기어 때로 예약해서 제공되는 쿠폰을 사용하여 보다 저렴하게 휴식을 취한 숙소이지만 불편하다고 느낄 점은 없었습니다 완벽한 컨디션의 숙소는 아니지만 모텔이 호텔도 아니고 완벽을 바라는 건 어리석은 생각으로 단순 휴식을 취해서 다음날 위해 하루 보내기엔 만족했습니다 숙소 위치 접근이 어렵지 않음 금액 만족 전국적 모텔 비용이 많이 비싸다 생각하지만 이번 금액은 적절함 친정도 사장 및 직원분의 대응이 친절함 객실 내 향 강한 디퓨저 냄새가 느꼈으나 담배 향을 가리기 위한 것인지 알 수 없지만 좀 더 객실 내 금연에 대한 관리 필요 침실 상태 보이는 부분은 정리 및 청소가 잘 되어있으나 침대 아래 책상 아랫부분은 좀 더 관리 필요 화장실 상태 물곰팡이는 크게 보이지 않게 잘 관리되어 있는 것으로 보이나 수전 노후상태 거울 물때 관리가 필요', '전주 시외버스터미널 근처에 있는 깔끔하고 깨끗한 숙소에요 근처 모텔 중 시설이나 서비스 면에서는 탑 급이에요 주차장도 넓어서 주차도 편하고 객실 상태도 청결하고 난방도 잘해줘요 욕실에는 입욕제도 있어서 피로 풀기도 딱이에요 스낵바에는 토스트 컵라면 시리얼 삶은 계란 음료수 등이 상시 비치돼 있어 굳이 외부 음식 조달 안 해도 될 정도예요 다만 아쉬운 점은 대실 마감 분전쯤에 퇴실 독촉 전화 주시는데 좀 불편하더라고요 입실 시간보다 미리 들어간 것도 아니고 숙박 입실 시간 가까워지니 그럴 수 있겠다 생각 들더라도 요즘 퇴실 준비하라고 미리 전화 주는 곳 묵은 적이 거의 없었는데 시간 오버한 것도 아니고 좀 불쾌했어요']",
