name,category,rating_score,rating_count,address
전주 비지니스 호텔 궁,모텔,9.2,774,전북특별자치도 전주시 덕진구 금암동 700-3
글로스터호텔 전주,호텔비즈니스,9.1,948,전북특별자치도 전주시 완산구 고사동 1-2
당일특가 신라스테이 전주 한옥마을,호텔비즈니스,9.4,372,전북특별자치도 전주시 완산구 경원동3가 72-2
전주 투썸스테이중화산점,모텔,9.6,709,전북특별자치도 전주시 완산구 중화산동2가 657
전주 MH HOTEL 중화산동점,모텔,9.7,1324,전북특별자치도 전주시 완산구 중화산동2가 657-2
전주 MH HOTEL 객리단길점,모텔,9.2,1734,전북특별자치도 전주시 완산구 다가동3가 64-24
전주 투썸스테이서신점,모텔,9.7,984,전북특별자치도 전주시 완산구 서신동 966-3
전주 브라운도트 덕진점,모텔,9.2,1500,전북특별자치도 전주시 덕진구 덕진동2가 200-17
전주 노이 호텔,모텔,9.3,2140,전북특별자치도 전주시 덕진구 우아동2가 928-13
라한호텔 전주,호텔4성급,9.4,1397,전북특별자치도 전주시 완산구 풍남동3가 26-5
전주 마리 덕진공원점,모텔,9.4,2194,전북특별자치도 전주시 덕진구 덕진동2가 189-19
당일특가 전주 시그니처 호텔,호텔비즈니스,9.3,529,전북특별자치도전주시 덕진구 우아동3가 752-48
전주 아늑료칸호텔 전주점,모텔,9.8,114,전북특별자치도 전주시 덕진구 금암동 701-4
전주 더케이,모텔,9.2,1554,전북특별자치도 전주시 완산구 중화산동2가 139-1
전주 호텔박스한옥마을 아중리점,모텔,9.3,1661,전북특별자치도 전주시 덕진구 우아동2가 922-2
전주 호텔아지트 신시가지점,모텔,9.6,760,전북특별자치도 전주시 완산구 효자동3가 1532-13
전주 호텔모아,모텔,9.5,193,전북특별자치도 전주시 완산구 효자동3가 1537-4
전주 브라운도트 아중지구점,모텔,9.6,409,전북특별자치도 전주시 덕진구 우아동2가 919-13
전주 호텔레이나구 전주 소풍,모텔,9.4,949,전북특별자치도 전주시 덕진구 산정동 875-9
전주 Q큐,모텔,9.4,4403,전북특별자치도전주시 완산구 중화산동2가 139-3
전주 하운드호텔 전주아중지구,모텔,9.6,242,전북특별자치도 전주시 덕진구 산정동 863-1
전주 YAJA전주한옥마을점,모텔,8.5,716,전북특별자치도 전주시 완산구 고사동 11-12
전주 호텔 써밋스테이,모텔,9.7,432,전북특별자치도 전주시 덕진구 산정동 875-8
베스트웨스턴 플러스 전주 호텔,호텔특급,9.3,1410,전북특별자치도전주시 완산구 서노송동 603-3
전주 아늑호텔,모텔,9.8,1066,전북특별자치도 전주시 덕진구 산정동 859-2
전주 호텔루고RUGO,모텔,9.7,265,전북특별자치도전주시 완산구 중화산동2가 650-2
전주 호텔 시그니처Signature,모텔,9.8,835,전북특별자치도전주시 완산구 중화산동2가 657-6
전주 호텔아지트 서신롯데점,모텔,9.6,927,전북특별자치도 전주시 완산구 서신동 968-3
전주 호텔 어반스테이아중점,모텔,9.8,379,전북특별자치도 전주시 덕진구 우아동2가 919-1
전주 제이즈호텔,모텔,9.4,2612,전북특별자치도 전주시 덕진구 산정동 872-2
전주 화이트호텔,모텔,9.6,869,전북특별자치도 전주시 덕진구 금암동 754-4
전주 스마일,모텔,9.4,2396,전북특별자치도 전주시 덕진구 덕진동2가 189-13
전주 와이케이,모텔,9.5,1291,전북특별자치도전주시 덕진구 덕진동1가 1262-2
전주 에이치에비뉴HAVENUE,모텔,9.7,1005,전북특별자치도 전주시 덕진구 산정동 874-3
전주 스타 호텔,모텔,9.6,258,전북특별자치도 전주시 완산구 중화산동2가 661-8
전주 윈져,모텔,9.1,3240,전북특별자치도 전주시 덕진구 금암동 763-10
