name,category,rating_score,rating_count,address,source,image,lat,lng
전주 비지니스 호텔 궁,모텔,9.2,774,전북특별자치도 전주시 덕진구 용산1길 17-4,y,전주 비지니스 호텔 궁.jpg,35.8350253,127.1314096
글로스터호텔 전주,호텔비즈니스,9.1,948,전북특별자치도 전주시 완산구 팔달로 227,y,글로스터호텔 전주.jpg,35.8223482,127.1449563
신라스테이 전주 한옥마을,호텔비즈니스,9.4,372,전북특별자치도 전주시 완산구 현무1길 10,y,신라스테이 전주 한옥마을.jpg,35.8196908,127.1485428
전주 투썸스테이중화산점,모텔,9.6,709,전북특별자치도 전주시 완산구 어은로 12-4,y,전주 투썸스테이중화산점.jpg,35.8163907,127.1241473
전주 MH HOTEL 중화산동점,모텔,9.7,1324,전북특별자치도 전주시 완산구 어은로 12-6,y,전주 MH HOTEL 중화산동점.jpg,35.8161297,127.1241559
전주 MH HOTEL 객리단길점,모텔,9.2,1734,전북특별자치도 전주시 완산구 전주천동로 232,y,전주 MH HOTEL 객리단길점.jpg,35.8171608,127.1395521
전주 투썸스테이서신점,모텔,9.7,984,전북특별자치도 전주시 완산구 여울로 31,y,전주 투썸스테이서신점.jpg,35.8359971,127.1200342
전주 브라운도트 덕진점,모텔,9.2,1500,전북특별자치도 전주시 덕진구 기린대로 534,y,전주 브라운도트 덕진점.jpg,35.8460907,127.1210444
전주 노이 호텔,모텔,9.3,2140,전북특별자치도 전주시 덕진구 아중4길 21,y,전주 노이 호텔.jpg,35.8300402,127.1729791
라한호텔 전주,호텔4성급,9.4,1397,전북특별자치도 전주시 완산구 기린대로 85,y,라한호텔 전주.jpg,35.817109,127.1541068
전주 마리 덕진공원점,모텔,9.4,2194,전북특별자치도 전주시 덕진구 덕진연못3길 9-5,y,전주 마리 덕진공원점.jpg,35.8472043,127.1199323
전주 시그니처 호텔,호텔비즈니스,9.3,529,전북특별자치도 전주시 덕진구 백제대로 838,y,전주 시그니처 호텔.jpg,35.843409,127.1395351
전주 아늑료칸호텔 전주점,모텔,9.8,114,전북특별자치도 전주시 덕진구 용산2길 17,y,전주 아늑료칸호텔 전주점.jpg,35.8355082,127.1320696
전주 더케이,모텔,9.2,1554,전북특별자치도 전주시 완산구 한두평1길 10,y,전주 더케이.jpg,35.8123865,127.1240179
전주 호텔박스한옥마을 아중리점,모텔,9.3,1661,전북특별자치도 전주시 덕진구 아중4길 20-5,y,전주 호텔박스한옥마을 아중리점.jpg,35.8308616,127.1727605
전주 호텔아지트 신시가지점,모텔,9.6,760,전북특별자치도 전주시 완산구 홍산북로 46-11,y,전주 호텔아지트 신시가지점.jpg,35.8170692,127.1075208
전주 호텔모아,모텔,9.5,193,전북특별자치도 전주시 완산구 홍산북로 80,y,전주 호텔모아.jpg,35.8172913,127.1104681
전주 브라운도트 아중지구점,모텔,9.6,409,전북특별자치도 전주시 덕진구 아중중앙로 30,y,전주 브라운도트 아중지구점.jpg,35.8308778,127.171979
