name,count
전주 큐,3767
전주 황금,3155
전주 고사동 YAJA 전주한옥마을점,2864
전주 후,2737
전주 메이드,2717
전주 덕진동 호텔 워너비(HOTEL WANNABE),2681
전주 우아동 호텔 젠,2670
전주 금암동 호텔 바라한(HOTEL BARAHAN),2590
전주 덕진동 MOMENT 708,2467
전주 위너,2375
전주 산정동 제이즈 호텔,2349
전주 금암동 호텔 마리(터미널점),2341
전주 스마일,2105
전주 제이즈호텔,2016
전주 금암동 칼튼힐호텔,1972
전주 호텔젠,1884
전주 금암동 후,1830
전주 히든호텔,1762
라한호텔 전주,1753
전주 금암동 YAJA 전주터미널점,1752
전주 마리 터미널점,1747
전주 코자자,1737
전주 에비뉴호텔,1686
전주 관광호텔,1682
전주 호텔 늘,1673
전주 카누,1670
전주 덕진동 브라운도트 전주덕진점,1665
전주 칸,1610
전주 덕진동 호텔 스마일(HOTEL SMILE),1595
전주 화려한외출,1551
전주 윈져,1541
전주 우아동 호텔 루나,1538
전주 투헤븐,1521
전주 금암동 비스트,1481
전주 우아동 센트,1356
베스트웨스턴 플러스 전주 호텔,1354
전주 금암동 뷰티 호텔,1333
전주 호텔 달빛소리 드라이브인,1282
전주 중화산동 호텔 인트로(HOTEL INTRO),1276
전주 산정동 첫번째 호텔,1253
전주 금암동 윈져,1237
전주 덕진동 호텔 마리(덕진공원점),1225
전주 산정동 호텔 에비뉴(HOTEL AVENUE),1200
전주 산정동 플렉스호텔,1197
전주 중화산동 투썸스테이,1184
전주 신시가지 오스카,1170
전주 중화산동 엘도라도,1147
전주 금암동 이카로스 드라이브인 무인텔,1138
전주 와이케이,1121
전주 아미르,1097
전주 우아동 큐브 505 (CUBE 505),1097
전주 고사동 전주관광호텔,1059
전주 호텔루나,1038
전주,1037
전주 우아동 Hotel The VIZIT,1024
베스트웨스턴플러스 전주호텔,1020
전주 플렉스호텔,1017
전주 우아동 호텔 야,1016
전주 우아동 호텔 캐슬,991
전주 산정동 호텔 메이드(HOTEL MADE),989
전주 우아동 호텔 투나잇(HOTEL 2NIGHT),975
전주 송천동 호텔 에코스테이,964
전주 산정동 칸,955
전주 산정동 넘버25 전주산정점,954
전주 투썸호텔,951
전주 아늑호텔,948
전주 덕진동 호텔 히든(HOTEL HIDDEN),940
전주 워너비,938
전주 덕진동 호텔 와이케이(HOTEL WAIKEI),928
전주 금암동 블루원,918
전주 솔호텔 (SOL),911
전주 호텔아지트 서신롯데점,909
전주 덕진동 호텔 쏘울(Hotel Soul),881
전주 산정동 달빛소리,847
전주 다가동 MH HOTEL 객리단점,827
전주 테라호텔,817
전주 한옥호텔 궁,816
전주 금암동 브라운도트 전주터미널점,809
전주 제이브라운,794
전주 호텔아지트 신시가지점,782
전주 산정동 코자자,777
전주 한빛호텔,773
전주 우아동 호텔단아,766
전주 토마토,756
전주 라임 호텔,751
전주 화이트호텔,747
전주 한옥마을 늘품호텔,745
전주 에이치에비뉴,739
전주 호텔 시그니처,734
전주 카마호텔,731
전주 중화산동 로데오,723
전주 호텔레이나구 전주 소풍,717
전주 라베호텔(LABE HOTEL),714
호텔 다빈,697
전주 중화산동 화려한외출Ⅱ,686
전주 산정동 호텔 감스테이,679
전주 금암동 호텔 화이트(HOTEL WHITE),679
전주 우아동 이츠 호텔,675
전주 중화산동 Q,672
전주 중화산동 호텔 시그니처 (Signature),664
전주 중화산동 브라운도트 전주중화산점,659
전주 전주한옥마을점,657
전주 블루원,635
전주 송천동 호텔 더 그레이(THE GRAY),623
전주 금암동 토마토,621
전주 신시가지 씨투,615
전주 관광호텔 꽃심,606
전주 다빈호텔,605
전주 비지트호텔,605
전주 덕진동 핀앤핏하우스,598
전주 칼튼 힐 호텔,598
전주 넘버 산정점,581
전주 브라이튼 호텔,564
전주 스토리,554
전주 슈페리어,552
전주 프린스,546
전주 중화산동 스페셜,545
전주 뷰티,544
전주혁신도시 호텔원,539
전주 우아동 소울,525
