name,count
전주 큐,3767
전주 황금,3155
전주 후,2737
전주 메이드,2717
전주 위너,2375
전주 스마일,2105
전주 제이즈호텔,2016
전주 호텔젠,1884
전주 히든호텔,1762
전주 마리 터미널점,1747
전주 코자자,1737
전주 에비뉴호텔,1686
전주 관광호텔,1682
전주 호텔 늘,1673
전주 카누,1670
전주 칸,1610
전주 화려한외출,1551
전주 윈져,1541
전주 투헤븐,1521
베스트웨스턴 플러스 전주 호텔,1354
전주 호텔 달빛소리 드라이브인,1282
전주 와이케이,1121
전주 아미르,1097
전주 호텔루나,1038
전주,1037
전주 플렉스호텔,1017
전주 투썸호텔,951
전주 아늑호텔,948
전주 워너비,938
전주 호텔아지트 서신롯데점,909
전주 테라호텔,817
전주 제이브라운,794
전주 호텔아지트 신시가지점,782
전주 토마토,756
전주 라임 호텔,751
전주 화이트호텔,747
전주 에이치에비뉴,739
전주 호텔 시그니처,734
전주 호텔레이나구 전주 소풍,717
전주 전주한옥마을점,657
전주 블루원,635
전주 비지트호텔,605
전주 다빈호텔,605
전주 칼튼 힐 호텔,598
전주 넘버 산정점,581
전주 스토리,554
전주 슈페리어,552
전주 프린스,546
전주 뷰티,544
전주 자우리,525
전주 알프스,524
전주 짬,518
전주 브라운도트전주터미널점,507
전주 라베 호텔,495
전주 하운드호텔덕진점,488
전주 브라운도트 중화산동점,471
전주 엘도라도,466
전주 투나잇,463
전주 브라이튼 호텔,457
전주 샵 호텔,443
전주 더씨티 호텔,438
전주 브라운도트 아중지구점,436
전주 필모텔,432
전주 호텔사운즈,432
전주 대화사우나,432
전주 한옥마을 별빛궁,422
전주 에이플러스,421
카마호텔 전주,398
전주 쿡,397
전주 감스테이,394
전주 노이 호텔,394
전주 프린스 우아점,392
전주 한옥마을 꽃잠,391
전주 에코스테이 호텔,389
전주 마리 덕진공원점,384
전주 한옥호텔 궁,383
전주 하얏트,376
전주 호텔 써밋스테이,370
전주 마리호텔,349
엔브릿지 호텔,344
전주 객리단길점,344
전주 소소한 한옥,344
전주 한옥마을 더 머뭄,328
전주한옥마을 덕수궁,326
전주 호텔 어반스테이아중점,326
전주 호텔유,309
전주 황실관광호텔,306
전주 몽블랑,303
전주 비지트 호텔,300
전주 핀앤핏하우스,297
전주 더그레이호텔,294
전주 박일,290
전주 스페셜,290
전주 더케이,288
라한호텔 전주,284
전주 루이호텔,284
솔 호텔,283
전주 한옥마을 골목길 게스트하우스,283
전주 브라운도트 덕진점,282
전주 호텔 엑스오,275
전주 한옥체험 모꼬지,275
전주 관광호텔 꽃심,274
전주 카마호텔,273
전주 호텔 더 빈센트,269
전주 구름채 게스트하우스,265
전주 중화산동점,258
전주 한옥마을 한옥미담,252
늘품호텔,246
전주 릴렉스호텔,243
전주 갤러리 스테이,238
전주 호텔루고,236
전주 이츠호텔,229
전주 호텔아이,226
한옥호텔 궁,223
전주 한옥마을 알콩달콩 다락방,219
전주 호텔폭스,217
전주 어썸호텔,217
전주 이카로스,217
호텔 오페라,214
전주 엘림호텔,214
전주 한옥마을 인디고,212
전주 라베호텔,207
전주 호텔야자 전주터미널점,206
전주 한옥마을 산아래,205
게스트하우스 전주점,202
전주 하운드호텔 전주아중지구,201
전주 스타 호텔,200
전주 엠파이어,199
글로스터호텔 전주,192
전주 하운드호텔 터미널점,182
전주 한옥마을 별자리,178
전주 루엘호텔 덕진공원 본점,178
전주 타임,178
전주 씨투,177
전주 한옥마을 한옥고택 고을,176
전주 마리호텔 터미널점,176
전주 투썸스테이서신점,175
전주 호텔,175
전주 타미호텔,173
재즈 어라운드 관광 호텔,170
전주 그랜드힐스턴 호텔,167
전주 이가 한옥 본관,165
전주 호텔다빈,163
전주 기린 게스트하우스,160
베니키아 전주한성호텔,157
전주 한옥마을 경기전 별당채,156
전주 호텔 캐슬,153
전주 호텔모아,152
전주 한옥마을 꽃밭정원 예쁜집 좋은날,149
전주 정가 한옥,147
