accommodation_id,name,positive_count,negative_count,positive_percent,negative_percent,sentiment_score
1081,전주 중앙동 라온 호텔,123,18,87.2%,12.8%,0.872
1082,전주 산정동 호텔 감스테이,938,72,92.9%,7.1%,0.929
1083,전주 중화산동 호텔 인트로(HOTEL INTRO),1008,172,85.4%,14.6%,0.854
1084,전주 신시가지 호텔 팝,576,144,80.0%,20.0%,0.8
1085,전주 산정동 호텔 레이나,623,58,91.5%,8.5%,0.915
1086,에이치에비뉴호텔 덕진점,76,3,96.2%,3.8%,0.962
1087,전주 덕진동 호텔 워너비(HOTEL WANNABE),2543,650,79.6%,20.4%,0.796
1088,전주 우아동 릴렉스호텔,259,17,93.8%,6.2%,0.938
1089,전주 덕진동 호텔히든(HOTEL HIDDEN),1437,166,89.6%,10.4%,0.896
1090,전주 하운드호텔 덕진점,444,38,92.1%,7.9%,0.921
1091,넘버25호텔 전주산정점,585,29,95.3%,4.7%,0.953
1092,전주 브라운도트 덕진점,230,37,86.1%,13.9%,0.861
1093,아늑료칸호텔 전주점,30,3,90.9%,9.1%,0.909
1094,전주 산정동 하운드호텔 전주아중지구,81,10,89.0%,11.0%,0.89
1095,전주 궁호텔,122,18,87.1%,12.9%,0.871
1096,전주 금암동 호텔 바라한(HOTEL BARAHAN),2315,216,91.5%,8.5%,0.915
1097,전주 메이드호텔,2483,109,95.8%,4.2%,0.958
1098,전주 금암동 하운드 전주터미널,460,8,98.3%,1.7%,0.983
1099,글로스터호텔 전주,370,51,87.9%,12.1%,0.879
1100,호텔야자 전주터미널점,305,52,85.4%,14.6%,0.854
1101,전주 산정동 에이치에비뉴(H Avenue) 전주아중지구점,1161,56,95.4%,4.6%,0.954
1102,신라스테이 전주,235,46,83.6%,16.4%,0.836
1103,전주 에비뉴 호텔,1619,84,95.1%,4.9%,0.951
1104,전주 산정동 제이즈 호텔,3371,596,85.0%,15.0%,0.85
1105,전주 중화산동 라베호텔(LABE HOTEL),740,19,97.5%,2.5%,0.975
1106,전주 산정동 스테이 호텔,12,0,100.0%,0.0%,1.0
1107,전주 시그니처 호텔,241,26,90.3%,9.7%,0.903
1108,전주 덕진동 MOMENT 708,2290,452,83.5%,16.5%,0.835
1109,이비스 스타일 앰배서더호텔 전주,250,43,85.3%,14.7%,0.853
1110,전주 마리호텔 터미널점,1884,173,91.6%,8.4%,0.916
1111,아늑호텔 전주점,1053,33,97.0%,3.0%,0.97
1112,전주 한빛호텔,676,39,94.5%,5.5%,0.945
1113,전주 중화산동 카마호텔,1351,55,96.1%,3.9%,0.961
1114,전주 우아동 브라운도트 전주아중지구점,634,32,95.2%,4.8%,0.952
1115,전주 우아동 센트,1157,89,92.9%,7.1%,0.929
1116,전주 스타호텔,177,7,96.2%,3.8%,0.962
1117,전주 정가한옥 & 더정가 스테이,262,17,93.9%,6.1%,0.939
1118,전주 우아동 호텔 루나,2298,115,95.2%,4.8%,0.952
1119,전주 마리호텔 덕진공원점,445,62,87.8%,12.2%,0.878
1120,베스트웨스턴플러스 전주호텔,1769,283,86.2%,13.8%,0.862
1121,전주 비지트호텔(VIZIT),801,77,91.2%,8.8%,0.912
1122,전주 우아동 호텔 투나잇(HOTEL 2NIGHT),1318,41,97.0%,3.0%,0.97
1123,전주 다온호텔,435,17,96.2%,3.8%,0.962
1124,전주 금암동 윈져,2145,313,87.3%,12.7%,0.873
1125,화이트 관광호텔,736,49,93.8%,6.2%,0.938
1126,전주 우아동 호텔 젠,3662,493,88.1%,11.9%,0.881
1127,전주 독채펜션달빛소리,1047,134,88.7%,11.3%,0.887
1128,전주 한옥마을 늘품호텔,860,68,92.7%,7.3%,0.927
1129,전주 다가동 MH HOTEL 객리단점,668,80,89.3%,10.7%,0.893
1130,칼튼힐 전주,593,46,92.8%,7.2%,0.928
1131,전주 신시가지 애플,221,34,86.7%,13.3%,0.867
1132,전주 스마일호텔,1798,172,91.3%,8.7%,0.913
1133,전주 호텔 더 빈센트,417,6,98.6%,1.4%,0.986
1134,전주한옥마을 게스트하우스,130,10,92.9%,7.1%,0.929
1135,전주 우아동 에이치호텔,100,10,90.9%,9.1%,0.909
1136,전주 우아동 jazz around 호텔,229,13,94.6%,5.4%,0.946
1137,전주 그랜드힐스턴호텔,215,21,91.1%,8.9%,0.911
1138,전주 산정동 첫번째 호텔,1005,129,88.6%,11.4%,0.886
1139,호텔 다빈,1165,155,88.3%,11.7%,0.883
1140,전주 우아동 박스호텔,105,9,92.1%,7.9%,0.921
1141,전주 서신동 호텔 아지트,1055,89,92.2%,7.8%,0.922
1142,전주 우아동 소울,436,57,88.4%,11.6%,0.884
1143,전주 엔브릿지호텔,546,72,88.3%,11.7%,0.883
1144,전주 중화산동 스페셜,611,130,82.5%,17.5%,0.825
1145,전주 신시가지 쿡,593,86,87.3%,12.7%,0.873
1146,전주 산정동 아리아,165,16,91.2%,8.8%,0.912
1147,전주 루엘호텔 덕진공원본점,237,14,94.4%,5.6%,0.944
1148,전주 나비잠한옥호텔,103,20,83.7%,16.3%,0.837
1149,위너 호텔,2139,155,93.2%,6.8%,0.932
1150,전주 산정동 플렉스호텔,1915,131,93.6%,6.4%,0.936
1151,전주 금암동 황토,135,15,90.0%,10.0%,0.9
1152,전주 중화산동 브라이튼 호텔(BRIGHTEN HOTEL),683,13,98.1%,1.9%,0.981
1153,호텔 에코스테이,412,27,93.8%,6.2%,0.938
1154,전주 금암동 블루원,1271,119,91.4%,8.6%,0.914
1155,전주 신시가지 타임,296,12,96.1%,3.9%,0.961
1156,전주 금암동 토마토,1058,165,86.5%,13.5%,0.865
1157,전주 중화산동 엘도라도,1278,178,87.8%,12.2%,0.878
1158,전주 경원동 뜰안채,1,0,100.0%,0.0%,1.0
1159,전주 우아동 필,575,26,95.7%,4.3%,0.957
1160,전주 금암동 이카로스 드라이브인 무인텔,1019,200,83.6%,16.4%,0.836
1161,전주 금암동 브라운도트 전주터미널점,1198,50,96.0%,4.0%,0.96
1162,전주 도란도란카라반글램핑펜션,79,12,86.8%,13.2%,0.868
1163,전주 더 메이 호텔,58,8,87.9%,12.1%,0.879
1164,전주 웨이,75,3,96.2%,3.8%,0.962
1165,전주 우아동 이츠 호텔,777,76,91.1%,8.9%,0.911
1166,전주 중화산동 투썸호텔,1208,95,92.7%,7.3%,0.927
1167,전주 호텔 아라리,188,8,95.9%,4.1%,0.959
1168,전주 중화산동 화려한외출Ⅱ,1568,394,79.9%,20.1%,0.799
1169,전주 신시가지 제이메이트 호텔,177,47,79.0%,21.0%,0.79
1170,전주 별자리 한옥스테이,343,7,98.0%,2.0%,0.98
1171,전주한옥마을 황실관광호텔,511,87,85.5%,14.5%,0.855
1172,전주 왕의지밀 한옥호텔,317,43,88.1%,11.9%,0.881
1173,전주 우아동 명품 HOTEL,92,33,73.6%,26.4%,0.736
