id,name,review_content,rating,write_date
y_001,전주 비지니스 호텔 궁,"1,위치,접근성 시외터미널 바로 뒤임,시내버스정류장이랑 도보 3분정도,도보전용 룸으로 굉장히 저렴한 가격으로 예약함,자차 없어도 전혀 불편함 없음 6층으로 주셨는데 창문열면 탁트인 시티뷰임 2,주변편의 편의점,식당 바로 근처에 많음 3,인테리어,시설 새건물은 아니지만 관리상태 괜찮음,객실에 들어갔을때 담배냄새 전혀안나고 쾌적했음,안마의자 까지 갓벽.. 면봉,화장솜,스킨,로션 세세한벗까지 일회용 어메니티 있어서 몸만 가도 될정도 침대 폭신하고,특히 침구랑 수건 깨끗했음 4관리 및침구 청소상태 양호함 5비품 욕실에 샴푸,린스,바디워시,1회용 치약,비누 가본곳 중에 어메니티 종류별로 꼼꼼하게 있기로는 최고 6,소음 개실에 손님 있던것 같은데 너무조용했음 7,총평 평일에 이 가격에 이런 퀄리티,가성비 가심비 둘다 최고 1층에 빵 다양하게 있어서 체크인할때 챙겨먹고,체크아웃할때도 야무지게 챙겨서 속까지 든든했어요 8 재방문의사 카운터분도 굉장히 친절하시고, 재방문의사 200프로임",4,1개월 전
y_002,전주 비지니스 호텔 궁,득템한 느낌이네요. 고속터미널 옆에 이런 곳이 있을 줄 몰랐습니다. 터미널 근처라서 비쌀 줄 알았는데 가격도 착하고 가격이 착하면 상태가 안좋을 줄 알았는데 기대이상입니다. 물론 낙후된 느낌이 들지만 담배냄새 안나고 깔끔합니다. 궁에 예약했는데 주차 자리가 없어서 문의했더니 바로 앞의 XO에 주차. 직원분이 XO에 숙소를 줌. 두 모텔이 같은 사장님 같습니다. 직원분도 친절하시고. 넓은 침대에 베개 4개 생수2개 음료수2개. 화장실과 샤워실 분리. 세면대 따로. 특이한건 충전기가 벽에 매달려 있다는 것. 그리고 퇴실시간이 오후2시. 1:40까지 영화보고 나왔네요. 쉬러 왔는데 정말 푹~~~쉬고 갑니다. 다음에 또 오겠습니다.,5,1개월 전
y_003,전주 비지니스 호텔 궁,엄청 깨끗하고 친절한곳 입니다. 갑자기 출장오게되서 잡은 모텔인데 주변 모텔은 오래되고 낡은 건물인 방면 여기는 실내외 정말 괜찮은 모텔입니다. 거기에 가성비까지 가격도 엄청 저렴하고 주차시설도 잘되있어서 출장오면 또 들려야하는 곳중 한곳입니다. 화장실 깨끗하고 수압 아주 좋습니다. 침대커버나 방 청소가 아주 깔끔히 되있고 사용감 없는 새로운 시트 깔려있어서 아주 좋습니다. 티비도 다른 주변 모텔에 비해 큰티비에 ott까지 이용할수 있어서 혼자 사용하는 방에서 심심하지 않게 영화까지 볼수 있어서 아주좋습니다. 주변 모텔 가서 실망하지 마시고 여기 꼭 예약해서 숙박 추천드립니다. 다음에 또 오겠습니다. 잘 사용하고 갑니다.,5,2개월 전
y_004,전주 비지니스 호텔 궁,이번에 전주에 가면서 묶게된 모텔이 전주 비지니스 호텔 궁 입니다~ 이번엔 궁 모텔 건물이 아니라 맞은편에 있는 엑스오 모텔로 배정을 받았는데요..같이 운영하신다고 하시네요.. 사장님은 친절 하시고 좋아 보여요 1층에 원두 커피 자판기 생수 빵도 여러 종류가 진열되어 있어서 좋았구요.. 침구도 새것처럼 뽀송하진 않지만 나름 깨끗하더라구요.. 주차도 여러대 할수 있어서 주차 걱정 없구요..고속버스 터미널도 근처에 있어요.. 길건너엔 하천 따라 산책로도 있구요.. 식당도 주위에 많아서 좋았어요~^^,4,10일 전
y_005,전주 비지니스 호텔 궁,"충분한 어메니티 만족했습니다. 그리고 편안한 휴식을 주는 안락한 매트리스 좋았습니다. 또한 욕조가 있어 반신욕을 할 수 있어서 괜찮았습니다. (한주의 피로가 풀리는것 같아요. ^^) 스산한 환절기임에도 아늑하게 객실 내 난방과 전기장판이 있어 따뜻하게 쉬었고요. 객실 청소 상태 또한 만족했는데요. 머리카락 하나 보이지 않을 정도로 청결했습니다. 넷플릭스, 티빙, 웨이브, 디즈니, 왓챠 까지 돌아가면서 재미있게 잘 시청도 하였고요. 큰 화면으로 봐서 그런지 더욱 즐거웠습니다. 감사합니다.",4,1개월 전
y_006,전주 비지니스 호텔 궁,제가 가본 숙소중에 제일 깔끔하고 좋았습니다. 외관부터 이뻐서 맘에 쏙 들었습니다. 들어가니 사장님도 친절하여서 좋았습니다 방에 들어가보니 침대도 깔끔하게 정리가 잘 되어있었고 베개나 이불에서 냄새가 나지않았습니다. 화장실도 깔끔하게 정리가 되어있어 좋았습니다. 제가 또 그 지역을가게된다면 이 곳을 다시 방문할 의사가 있습니다!! 항상 숙소를 가게된다면 다 좋지만은 한두가지씩 아쉬운 점이 다 있었지만 여기는 아쉬점없이 편하게 잘 쉬다와 만족스럽게 숙소를 정한 것같습니다,5,20일 전
y_007,전주 비지니스 호텔 궁,제가 가본 숙소중에 제일 깔끔하고 좋았습니다. 외관부터 이뻐서 맘에 쏙 들었습니다. 들어가니 사장님도 친절하여서 좋았습니다 방에 들어가보니 침대도 깔끔하게 정리가 잘 되어있었고 베개나 이불에서 냄새가 나지않았습니다. 화장실도 깔끔하게 정리가 되어있어 좋았습니다. 제가 또 그 지역을가게된다면 이 곳을 다시 방문할 의사가 있습니다!! 항상 숙소를 가게된다면 다 좋지만은 한두가지씩 아쉬운 점이 다 있었지만 여기는 아쉬점없이 편하게 잘 쉬다와 만족스럽게 숙소를 정한 것같습니다,5,18일 전
y_008,전주 비지니스 호텔 궁,제가 가본 숙소중에 제일 깔끔하고 좋았습니다. 외관부터 이뻐서 맘에 쏙 들었습니다. 들어가니 사장님도 친절하여서 좋았습니다 방에 들어가보니 침대도 깔끔하게 정리가 잘 되어있었고 베개나 이불에서 냄새가 나지않았습니다. 화장실도 깔끔하게 정리가 되어있어 좋았습니다. 제가 또 그 지역을가게된다면 이 곳을 다시 방문할 의사가 있습니다!! 항상 숙소를 가게된다면 다 좋지만은 한두가지씩 아쉬운 점이 다 있었지만 여기는 아쉬점없이 편하게 잘 쉬다와 만족스럽게 숙소를 정한 것같습니다,5,18일 전
y_009,전주 비지니스 호텔 궁,제가 가본 숙소중에 제일 깔끔하고 좋았습니다. 외관부터 이뻐서 맘에 쏙 들었습니다. 들어가니 사장님도 친절하여서 좋았습니다 방에 들어가보니 침대도 깔끔하게 정리가 잘 되어있었고 베개나 이불에서 냄새가 나지않았습니다. 화장실도 깔끔하게 정리가 되어있어 좋았습니다. 제가 또 그 지역을가게된다면 이 곳을 다시 방문할 의사가 있습니다!! 항상 숙소를 가게된다면 다 좋지만은 한두가지씩 아쉬운 점이 다 있었지만 여기는 아쉬점없이 편하게 잘 쉬다와 만족스럽게 숙소를 정한 것같습니다,5,18일 전
y_010,전주 비지니스 호텔 궁,제가 가본 숙소중에 제일 깔끔하고 좋았습니다. 외관부터 이뻐서 맘에 쏙 들었습니다. 들어가니 사장님도 친절하여서 좋았습니다 방에 들어가보니 침대도 깔끔하게 정리가 잘 되어있었고 베개나 이불에서 냄새가 나지않았습니다. 화장실도 깔끔하게 정리가 되어있어 좋았습니다. 제가 또 그 지역을가게된다면 이 곳을 다시 방문할 의사가 있습니다!! 항상 숙소를 가게된다면 다 좋지만은 한두가지씩 아쉬운 점이 다 있었지만 여기는 아쉬점없이 편하게 잘 쉬다와 만족스럽게 숙소를 정한 것같습니다,5,18일 전
