id,name,review_content,rating,write_date
yeogi_accom_019_20100,전주 호텔레이나-구 전주 소풍,편하게 잘 쉬다 갑니다,2,1년 전
yeogi_accom_019_20101,전주 호텔레이나-구 전주 소풍,잘 쉬었다 갑니다,3,1년 전
yeogi_accom_019_20102,전주 호텔레이나-구 전주 소풍,편하게 잘쉬다갑니다 ㅎㅎ,5,2년 전
yeogi_accom_019_20103,전주 호텔레이나-구 전주 소풍,숙소 사진운 못 찍었네요조식 빵이랑 이런거 있다더니 커피기계랑 강냉이만 있어요리모델링했다는데 그냥 깔끔하긴 한데 시설이 좀 노후됐어요온수수압은 최고예요,3,1년 전
yeogi_accom_019_20104,전주 호텔레이나-구 전주 소풍,모든 점이 다 좋은데 담배냄새가 너무 많이 납니다 ㅠㅠ주기적으로 전주 방문하는데 이거만 신경써주시면 정말 좋을 것 같아요,5,1년 전
yeogi_accom_019_20105,전주 호텔레이나-구 전주 소풍,리모델링 했다고 해서 갔는데 페인트 덧칠에 군데군데 낡은곳이 많이 보이네요무엇보다 에어컨이 노후화 되었고 리모컨도 잘 작동되지 않아요아중리에 좋은 모텔 많은데 가성비가 떨어집니다,3,1년 전
yeogi_accom_019_20106,전주 호텔레이나-구 전주 소풍,성수기여서 가격이 좀 비싸긴했는데 청결도나 객실 컨디션 등 생각보다는 좋아서 잘 쉬고갑니다 성수기여서 가격이 좀 비싸긴했는데 청결도나 객실 컨디션 등 생각보다는 좋아서 잘 쉬고갑니다,3,1년 전
yeogi_accom_019_20107,전주 호텔레이나-구 전주 소풍,좋았어요 다시올게요,5,1년 전
yeogi_accom_019_20108,전주 호텔레이나-구 전주 소풍,가성비좋고 주차장 넓고 친절하시고 잘 머물다 갑니다,5,1년 전
yeogi_accom_019_20109,전주 호텔레이나-구 전주 소풍,동생 부부가 여행와서 잡아준 숙소인데정말 불편했습니다 ㅜㅜㅜㅜ12시 퇴실인데 11시 05분 11시25분연속으로 세번 인터폰 하고11시 50분에는 객실 초인종까지누르면서 쫓아냅니다어이 없어서 리뷰 남깁니다,1,1년 전
yeogi_accom_019_20110,전주 호텔레이나-구 전주 소풍,친절하고 방도크고 너무 좋았어요,5,1년 전
yeogi_accom_019_20111,전주 호텔레이나-구 전주 소풍,좋아요좋아요 좋아요 최고,5,1년 전
yeogi_accom_019_20112,전주 호텔레이나-구 전주 소풍,매우 만족합니다,5,1년 전
yeogi_accom_019_20113,전주 호텔레이나-구 전주 소풍,너무 더러워서ㅜ제가 방을 닦앗네요씻고나왓는데ㅜ발바닥이 껌하게되어서 놀랫습니다,1,2년 전
yeogi_accom_019_20114,전주 호텔레이나-구 전주 소풍,좋아요 잘 쉬다가요,2,1년 전
