id,name,nickname,review_content,rating,write_date
y_174_001,전주 재즈어라운드호텔,실미도침팬지,"주차장 넓고 직원들 매우 친절해요. 내부도 깨끗하고 냄새도 안나고 키즈 시설이 잘되어있어요. 스타일러,공기청정기도 있고 넷플릭스고 무료로 이용. tv도 2개나 있고 침실도 분리되어 있고 침대가 매우커요. 키즈감성 벙커침대도 따로 있어요. 욕조도 크고 애기 변기커버, 발받침 대고 있어요. 다만 유일한 단점은 거실과 침실 양쪽으로 화장실이 연결되어있는데 거실쪽에는 문이 없어 애들 통제가 안되요 ㅋㅋㅋ 들락날락.... 냉장고도 미니인점. 하지만 재방문의사 200%%%%% 잘머물다가요",5,3개월 전
y_174_002,전주 재즈어라운드호텔,수영하는치타,1. 숙소는 깨끗했습니다. 2.루프탑 이용 좋습니다. 루프탑이 3개 있는데 칸막이가 높지는 않아요 단 cctv조심 ㅋ 3. 아침조식 맛있었어요 센드위치에 커피 혹은우유랑 먹으며 황태해장국 맛있게 먹었어요 1인 페키지 포함 1인 추가요금 있어요. 4. ott서비스는 개인계정 있어야해요. 5. 일하시는 분들이 친절하세요!,5,10일 전
y_174_003,전주 재즈어라운드호텔,아고다스파이,"전체적으로 깔끔한 느낌이였어요. 세면대 물이 안내려가서 청결에서 하나 뺐어요ㅠㅠ 욕실등이 하나만 켜져서 조금 어두웠어요. 침구류는 깔끔했고, 아기랑 들어가서 수건도 더 주셨어요. 욕조가 폭신한 느낌이라 신기했어요. 아침조식도 깔끔한 해장국 맛이라 아주 좋았습니다.",4,1년 전
y_174_004,전주 재즈어라운드호텔,열정적이고감동적인육개장,일단 아이들이 장난감으로 엄청 즐거워했습니다 어린이침대도 좋아했구요 사장님들도 친절하시고 조식도 너무 잘 먹었습니다 다만 저희가 한 40분 일찍 체크인해서 들어갔는데요 (와도 된다고 말씀은 듣고 갔습니다) 시간이 부족했던걸까요 다먹은 편의점 커피페트병에 어린이음료 뚜껑같은게 정리가 안되고 계속 나왔어요.. 솔직히 바닥이나 물건에 먼지를 뽀득뽀득 청소하길 바라진 않거든요 또 몇년 된 숙소는 묵은때가 느껴지기도 하구요 감안하고 하룻밤 자는편인데도 근데 저 큰 쓰레기들이 서너개씩 나오니 솔직히 뭘 청소하신건가 싶었어요... 아 그리고 화장실은 문이 있고 샤워공간은 커튼으로 되어있는데 그런구조를 처음 봐서 처음에 좀 당황스러웠어요ㅎㅎ 어차피 가족끼리 쓸거고 공간을 넓게 만들려고 그런걸 알아서 큰 상관은 없었습니다 저한테는 침대 매트리스가 좀 불편했어요ㅠㅠ 이건 호불호가 있을거라고 생각합니다 아무튼 아이들은 엄청 즐거워하는 하룻밤이었어요,2,1개월 전
y_174_005,전주 재즈어라운드호텔,공감하고환상적인달걀,"가족끼리 다녀왔어요 조식 1인 무료길래 아버지가 다녀와서 식사했는데 괜찮네요! 다만 9층이었는데도 불구하고 ㅠ 위에 쿵쿵 거리는 소리가 계속 들렸어요 화장실 문 구조상 그런거같네요,, 드라이기도 두개도 다른건 다 너무 좋았어요!",4,11개월 전
y_174_006,전주 재즈어라운드호텔,GC14989063433,깨끗하고 저렴해서 만족스러웠습니다,5,10일 전
y_174_007,전주 재즈어라운드호텔,518수진,"객실 청결하고, 사장님 친절하셔요. 해장국 조식 굿!!!!",4,1개월 전
y_174_008,전주 재즈어라운드호텔,ooy1104,"큰 욕조, 친절, 조식, 시설 갓벽 아이들과 함께하기 너무 좋았어요 조식으로 나오는 해장국 최고!!",5,1년 전
y_174_009,전주 재즈어라운드호텔,열정적이고푸른인물,전주 숙소 중 가장 가격대비 완벽했습니다 또올게요!!,5,1개월 전
y_174_010,전주 재즈어라운드호텔,Kyoung8098,입실했을때 화장실 바닥에 여자 머리카락 뭉치가 있었어요ㅠㅠ 쇼파 주변에 머리카락 또 있었어요 2박을 묵었는데 방 청소 의뢰 했는데 저희가 돌아 왔을때 청소 중이였는데 방안에 물건들 다 있었는데 방문을 활짝 열어 놓고 물건들이 다 보이는 상태였고 4시전에 청소 알려 달라고 했는데 저희는 오전에 11시에 나가서 3:45분에 들어왔는데 여전히 청소 안되서 순서대로 하는거라고 그럼 오전 일찍 나가 있어야 하나요?! 창문 열어 놨는데 방충망 없어서 벌레 들어오고 시설은 불편함 없었는데 청소상태 및 청소 하는데 방문 다 열어 놓고 하시더라고요 외국친구랑 갔는데 어이없다고 황당하다고 하더라구요,2,7개월 전
y_174_011,전주 재즈어라운드호텔,나미살롱네일,깨끗하고 좋았어요 😊 조식도 맛있었어요,5,7개월 전
y_174_012,전주 재즈어라운드호텔,대내외적인차우차우,넓은 공간과 깔끔한 인테리어 굿,5,9개월 전
y_174_013,전주 재즈어라운드호텔,이주뇽,시설 서비스 모두 100점입니다,5,1년 전
y_174_014,전주 재즈어라운드호텔,양산편집장,직업특성상 출장이 많아 비지니스호텔과 모텔을 자주 이용 하는 편입니다. 동일 가격의 최근 삼 년간 제가 묵었던 어떤 숙소 보다 깔끔하고 편의시설이 잘 갖춰져 있으며 심지어 3성 급 이상 대형호텔과 견주어도 부족함이 없을 정도로 좋은 곳입니다. 일단 방이 정말 크고 신축이라 더 그렇겠지만 모든 물품들이 너무 깨끗합니다. 담배 냄새 따위는 전혀 없고 심지어 일반 모텔이나 호텔에서 사용하는 방향제 냄새조차도 없는 그야말로 청정한 환경입니다. 화장실도 정말 크고 깨끗하구요. 객실 뿐만 아니라 로비에 들어서면 작게나마 카페도 있고 체크인과 체크아웃할때 기다릴 수 있는 편안한 소파도 갖추어져 있습니다. 2층 식당에서 아침 식사를 1인 무료로 제공을 해 주시는데 단순히 방값에 포함된 형식적인 밥상이 아니고 주문 하면 그때 바로 조리에서 주시는 황태해장국이었습니다. 밥도 갓 지은 밥으로 국도 너무 맛있었어요. 11층 루프탑에는 자쿠지도 있었는데 다음에 휴가로 전주를 오면 여기도 예약해서 꼭 이용해 보고 싶네요 밤에 너무 예쁠 것 같아요. 내돈내산이지만 정말 만족 해서 작성하는 후기 입니다 다음번에도 지금과 같은 컨디션이 계속 유지 될 수 있도록 방문해 주시는 분들도 깔끔하게 사용하면 좋겠네요. 룸 사진은 이용하고 퇴실 직전 찍은 모습이라 침구와 타월이 정리 되어 있지 않은 점 감안해서 봐주시면 될 것 같아요.,5,2년 전
y_174_015,전주 재즈어라운드호텔,응료,잘 쉬다가 갑니다. 덕분에 행복하고 좋은 여행된것같습니다. 역시 살기 좋은 전라도 화이팅역시 살기 좋은 전라도 화이팅역시 살기 좋은 전라도 화이팅역시 살기 좋은 전라도 화이팅역시 살기 좋은 전라도 화이팅,4,2년 전
y_174_016,전주 재즈어라운드호텔,승연대디,"전주로 출장이 계획되어 1박2일 호텔을 예약했습니다. 호텔 예약시 고려했던 점은 대실하는 곳이 아닐 것, 시설 특히 욕실이 깨끗할 것, 침구류가 편안할 것 마지막으로 조식이 가능한 곳으로 리스트업했고 결국 재즈어라운드 호텔을 예약했습니다. 맨 처음 주차를 했을 때에는 주변에 모텔이 많은 모텔촌이라 약간 실망했으나 체크인시 직원들 응대도 매우 좋았고 무엇보다 방이 쾌적하고 깨끗했습니다. 다른 곳을 예약하려고 했던 타사 직원들도 모두 이 곳에 묵어서 5명이 5개 방을 빌려서 나누어 묵었는데 모두 만족했습니다. 특히 조식에 황태해장국이 나와 전날 음주했던 직원들 모두 좋아했습니다. 다음에도 출장 온다면 이 곳을 찾지 않을까 싶어요",4,3년 전
y_174_017,전주 재즈어라운드호텔,프로출짱러,"*장점 1. 수압이 좋다. 2. 바로 앞에 큰 편의점이 있다. 3. 스타일러가 있고 관리를 잘해주심 4. 물 3개 넣어주심 *단점 1. 에어컨에서 담배냄새가남 -> 한참틀어놓고 환기시킴 2. 화장실 하수구냄새가 심하다/ 잘때 문꼭닫고 자야됨 3. 휴대폰 진동소리가 주기적으로 나는데 이소리가 생각보다 커서 잠을 잘못잠... 4. 새로 오픈했다고 하나, 오래된 모텔을 부분 리모델링한 느낌. 5. 무엇보다 침구에 뭐가 묻어있었음ㅠㅠㅠ 6. 주변에 뭐 먹을곳을 찾으려면 생각보다 한참 걸어가야함-> 차가지고 가는것을 추천!",5,2년 전
y_174_018,전주 재즈어라운드호텔,irdhgf,"이번에 와이프랑 다녀왔어요! 저희는 금요일에 무주에서 스키타고 전주 넘어와서 여행했는데 숙소를 재즈어라운드 호텔로 잡아 정말 만족스러운 여행이 되었습니다!! 우선 체크인시간은 4시였고 저희는 금요일 4시 10분쯤 도착했는데 빠르고 친절하게 잘 설명해주셨어요. 조식은 이벤트중이라 한명 무료고 한명은 10000원에 가능하다고 해서 신청했습니다! 룸컨디션은 엄청엄청 깨끗했고 하나하나 잘 정리된 느낌이었어요 저희는 테라스 스파 룸 예약했는데 제트스파가 정말 짱짱이었습니다!! 사실 수영장 있는 호텔을 조금 가고 싶었는데 이번에는 스키장을 갔다가 가는거라 제트스파가 정말 정말 좋았어요 온몸이 뻐근한데 방에서 스파하니 세상을 다 가진 기분(?) 이랄까요 ㅎㅎ 스파할때 사용하는 버블도 2개를 제공해주고 있어서 더욱 맘에 들었어요! 요방말고는 자쿠지 패키지가 있던데 그걸해도 좋을듯합니다만 저는 이방에서 조금 더 편하게 스파를 할 수 있어서 더 좋았습니다 그리고 푹신한 침대(잘은 모르는데 매트리스를 좋은걸 쓴다고 되있었던것같아요) 큰 화면의 TV에 이 방은 화장실에 샤워기도 2개, 깨끗한 비데까지!! 하나하나 다 맘에 들었어요. (공기청정기도 방에 있었어요!) 어메니티도 다 깔끔하게 준비가 잘되어있어 좋았어요 조식은 7시~9시 먹을 수 있는데 황태 콩나물 국밥(?) 주시구요 맛있었어요. 식당에 계신분들도 친절하셨구요. 그외에는 시리얼(첵스, 콘푸라이트) 토스트(잼, 버터) 우유, 오렌지쥬스 요렇게 간단하게 있어요. 간단히 8시쯤 조식먹고 체크아웃시간이 12시라 방에 올라가서 한숨 더 잘수 있었는데 요게 또 12시에 체크아웃이라 조금 더 느긋하게 쉬다가 전주를 즐기러 갈 수 있었어요. 전주한옥마을까지 10분~15분정도 차타고 가면되구요. 금요일에는 전주 남부시장 야시장 토요일에는 한옥마을 구경했어요 주차는 평일이라 자리가 많았어요! 주차장 입구도 두개여서 잘못갔나 한순간 입구가 하나더 있어서 좋았어요 ㅎㅎ 다 좋은점만 적었는데 굳이굳이 아쉬운점을 적어본다면 방에서 볼 수 있는 뷰가 없어서 거의 커튼을 치고 있었다는 점이 있었구요. 다른 것들은 다 좋아서 다음에도 전주를 간다면 꼭 다시 가고 싶은 그런 숙소였습니다! 물론 그때 그때 컨디션이 조금씩 다를 수는 있겠지만 편안하고 행복한 전주여행이 되도록 만들어준 제즈어라운드 호텔 추천드려요! 감사합니다! (사진을 더 예쁘게 찍었어야하는데 다 쉬고 나가기전에 리뷰하나 적어야겠다 생각하고 뒤늦게 찍어서 사진이 안이쁘게 나왔을 수 있어요!)",5,2년 전
y_174_019,전주 재즈어라운드호텔,몽댕,"실내 스파가 가능한 곳을 찾다가 가게 됐는데, 정말 너무 만족합니다👍 전주에서 편하게 쉴 숙소를 찾는다면 굉장히 아주 강추강추!! 웬만하면 블로그에만 리뷰 쓰고 여기어때에는 안 썼는데 이건 사람들에게 널리 알려야한다고 생각이 들어 후기를 남깁니다! 1. 친절도 일단 직원 분들이 너무 친절하심. 덕분에 불편한 것 없이 지낼 수 있었음. 부족한 물품이 있어서 추가로 달라고 요청하니 바로 가져다 주시고, 모든 직원이 미소장착하고 계심. 2. 스파 실외 스파는 아직까진 추울 것 같아서 실내 스파로 예약함. 스파욕조 크기에 대해서 사진과 다른 곳이 많아 이 곳도 크게 기대 안했는데 오히려 사진보다 크게 느껴짐. 그리고 수건도 넉넉하게 구비되어 있고(1박 하는데 큰 수건 2개, 작은 수건 4개가 구비되어 있었음. 이것도 부족하면 더 달라고 할 시 바로 주실 것 같음), 거품입욕제가 2개 있어서 풀어서 거품 스파도 즐겼음. 옆에 쉴 수 있는 매트도 있어서 스파 즐기다가 중간에 쉬기도 함. 3. TV TV화면도 크고, TV를 스파 쪽으로 돌릴 수 있어서 스파하면서 TV 볼 수 있음. 넷플릭스 뿐만 아니라 유튜브도 볼 수 있게 되어 있음. 그래서 나는 짱구 봤음. 4. 샤워실 샤워실이 크고 깨끗해서 너무 좋았음. 해바라기 샤워기랑 그냥 일반 샤워기가 있었는데, 둘 다 수압도 적절하고 온수도 잘 나옴. 변기가 있는 공간은 또 다른 문이 있어서 샤워실과 변기 있는 공간도 잘 나누어져 있어서 민망하지 않았음. 참고로 변기는 물 내려가는게 무려 자동이었음. 5. 방음 많이 놀다와서 피곤했는데 주변방 소음이 안 들려서 편히 잘 수 있었음. 복도 소음이 들린 적은 있었는데 사람이 지나가면서 충분히 들릴 수 있을 정도의 소음 말고는 없었음. 6. 다양한 조명 조명이 다양해서 좋았음. 침대와 TV가 있는 공간 사이에 샹들리에 같이 예쁜 조명도 있었고, 스파 위에 조명, 침대 쪽 조명 등 다양한 분위기를 낼 수 있어서 좋았음. 7. 청결도 나는 청결도를 굉장히 중시하는 사람임. 다 좋아도 청결이 문제가 있으면 그 숙소에 대한 기억이 결코 좋을 수 없음. 여기는 청소도 열심히 하시는 것 같음. 머리를 헹거 있는 쪽에서 말리다가 드라이기로 마스크를 헹거 뒤쪽으로 날려버려서,, 급하게 헹거를 옆으로 치우고 마스크를 주웠음. 그러다가 헹거 뒤쪽을 보게 됐는데 먼지가 없었음. 헹거 뒤쪽은 사실 안 보이는 곳이라 더러워도 할말이 없는데 거기까지 깨끗한 거 보고 살짝 놀랐음. 스파욕조도 깨끗하고, 샤워실과 화장실도 깨끗해서 만족함. 침대가 살짝 신경 쓰이긴 했는데 충분히 새하얀 흰색 침대에 있을만한 정도 였음. 결벽증이 살짝 있는 나도 편히 잘 수 있는 정도라 만족함. 8. 주변시설 바로 앞에 편의점 있고(가장 가까운 건 세븐일레븐, 조금 더 나가면 gs25와 이마트24 있음), 택시기사 아저씨가 추천하는 맛집도 있었음. 막창집과 고깃집이 바로 앞에 있는데 가격도 저렴하고 위치가 너무 좋아서 멀리까지 나가지 않고 맛있는 식사를 할 수 있었음. 다음에 또 가고 싶다는 생각이 드는 숙소는 별로 없는데 이 곳은 또 가고 싶다는 생각이 듦!! (참고로 월요일에는 조식 없음! 조식을 못 먹어서 먹으러 가야겠음)",5,3년 전
y_174_020,전주 재즈어라운드호텔,체크인합니다,전주에 이렇게 좋은곳이있는지 몰랐어요👍👍👍👍👍 날씨를 생각못하고 비가 너무 많이와서 발만담구고 사진만 찍어서 너무 아쉬웠는데(음악 조명 감성충만했습니다) 그걸 알아봐주시고 음료 서비스도 주셔서 감동받았어요 ㅠ 객실은 더 말할것없이 깔끔하고 너무좋아서 사진찍는것도 까먹었네요 전체적으로 사진보다 훨씬좋았고 서비스가 최고였습니다 다음에는 꼭 스파를 이용하려구요😎😎,5,3년 전
y_174_021,전주 재즈어라운드호텔,배키로3,출장와서 혼자 이용 했지만 객실컨디션 넘무 좋고요 침구도 포근 하네요 특히 스파 욕조 강추입니다.,5,2년 전
y_174_022,전주 재즈어라운드호텔,지금도행복,"숙소를 정하고 왔는데, 생각보다 빨리와서 기다리고 있는데., 실장인지 책임자인지~그분이와서 들어가도 된다고했어요~ 얼마나 좋든지~여잔 자그마한것에 감동 받자나염ㅋㅋ 10층을 주셨는데,...이제껏 많고많은 숙소를 다녔는데, 제일 으뜸 이였어요~그전엔 새로생긴 경원동에있는 꽃*호텔이였는데, 여기가 더 좋으네요~ 자주자주 올것같아요ㅎㅎㅎ",4,3년 전
y_174_023,전주 재즈어라운드호텔,광화문광장참나무,직원분들 너무 친절하세요 시설도 엄청 깔끔하고 전체적으로 100퍼 만족입니다 조식 기대안하고 갔는데 콩나물국밥 아침 든든하게 맛있게 먹었어요 기대이상 굿굿 직원분들도 잠은 편안하게 주무셨냐 여쭤보시며 정말 친절했어요 전주 여행갈때마다 무조건 이 호텔만 이용할거에요 방안에 스타일러 공기청정기 자체온도조절 다 좋구요 침대도 너무 아늑했어요 욕실 샤워 용품두 큰 샴푸통 이런거 아니고 작게 1회용으로 구비되어있어서 위생적이고 좋아요,5,3년 전
y_174_024,전주 재즈어라운드호텔,예외적인과자,너무너무 친절하시고 완전 오성급 호텔입니다 매트리스가 넘넘 좋구요 시설이 넘 넘 조아요 인테리어가 너무 이쁘구요 조식 넘넘 맛있고 좋아요 전주에서 최곱니다 이렇게 만족한게 첨이에요 만족쿠,5,2년 전
y_174_025,전주 재즈어라운드호텔,의산서원김치,24시간 카운터에서 친절하게 요청사항도 모두 들어주신 직원들과 편리한 주차시설에 좋은 추억 만들어갑니다 가장최고는 멋진야경과 함께 몸을 녹일수잇는 루프탑이엇습니다 날씨도 도와줘서 잊지못할 추억만들고 가네요 감사합니다 번창하세요~~^^,5,3년 전
y_174_026,전주 재즈어라운드호텔,날아라뿅,"넓은 욕조와 스타일러까지 보유하고 있어서 편안하게 잘 쉬었다 왔습니다. 제가 묵었던 방에는 아담한 야외테라스도 있어서 창 밖을 바라보기도 좋았고, 특히나 아침 황태해장국 너무 맛있었습니다. 전주하면 콩나물 국밥이 떠오르지만 이곳에서 먹은 해장국은 콩나물 국밥 못지않게 맛있었습니다. 다만, 객실 청소 부분에서 다소 아쉬움이 있었네요. 객실 들어갈때부터 욕실, 현관에 여성분의 머리카락이 있었고, 화장실 쓰레기통에는 비누 포장지로 보이는 쓰레기까지. 그래도 다음 출장시에도 다시 방문하면 좋을만큼 좋은 기억들만 가지고 갑니다..",4,1년 전
