id,name,nickname,review_content,rating,write_date
y_36_001,전주 윈져,1노는게제일좋아,"안마의자방이 아닌 투베드 룸으로 주셨어요! 들어와서 짐 풀땐 너무 좋았는데... 옆방에서 8시쯤..? 청소를 하시는데 방음이 너무 안되서 잠을 푹 못잤어요ㅠㅠ 모기가 날아다녀서 새벽에 불키고 일어나서 모기도 잡았어요🥹 투베드룸 싱글쪽엔 얇은 여름 이불이 놓여 있었는데 조금 추웠어요 카운터 불친절 하다는 후기 봤는데, 저희가 방문했을땐 친절하셨어요. best 투베드룸, 고데기, 충전기 빌려주셨음, 친절함 화장실이 깔끔함. bad 전기장판 코드가 안보임 작동X, 방음이 안됌, 이불이 얇아 추웠음. 모기가 있었음.",5,20일 전
y_36_002,전주 윈져,내꿈은너야밍지야,"주차장 이중 주차구요. 그래도 잘 주차했습니다. 프로 출장러 입니다~~, 가성비 나쁘지 않았구요. 남성이라 크게 문제 없이 잘 쉬다 나왔습니다. 근처 편의점 4분 거리에 있구요 자 열심히 했습니다. 조금 약하지만 없는 것보단 좋았어요. ☺️☺️ 세면도구 잘 준비 되어 있었구요. 샴푸 린스 바디 워시 있습니다. 따로 욕조는 사용 안해서 깨끗하지는 잘 모르겠어요. 😙😙 침대는 푹신푹신 잠 잘 왔습니다 무엇보다 주변 소음이 없어서 푹 쉬었습니다 다음에 출장 또 다시 가면 또 예약하겠습니다😋😋",5,1개월 전
y_36_003,전주 윈져,소말리아직장,늘 저렴하고 위치 좋아서 가성비 좋게 이용하고 있습니다. 수 압 좋고 따뜻한물 잘 나오고 방음 품이 딱히 엄청 심한 것도 아니고 전기매트도 따뜻하고 방도 따뜻한 편이라 항상 무난 하게 만족하면서 이용하고 있어요. 스타일러 있어서 옷 건조 하거나 살균하기에도 매우 좋아요.근처에 음식점도 많고 가 장 좋은 전북대랑 가까워서 점심 먹고 들어 가거나 나와서 저 녁 먹기에도 항상 메뉴 고르기에 좋습니다. 수건도 이용 시간 동안 이용 하기에 부족함 없고 위생도 문 안에서 아주 만족스 럽습니다.!,5,1개월 전
y_36_004,전주 윈져,77세아마추어,"체크아웃까지 모든 과정이 원활했고, 호스트도 친절하게 안내해주셔서 편안하게 머물 수 있었습니다. 침구류가 청결하고 침대도 푹신해서 숙면을 취할 수 있었어요. 주변에 맛집과 카페도 가까워 위치도 만족스러웠습니다. 다음에 또 방문하고 싶어요. --- 숙소에 도착했을 때 첫인상부터 매우 좋았습니다. 외관도 깔끔하고 실내는 사진으로 봤던 것보다 훨씬 넓고 정돈되어 있어 만족스러웠습니다. 특히 청결 상태가 인상 깊었는데, 바닥이며 침구, 화장실까지 먼지 하나 없이 잘 정리되어 있어 기분 좋게 머물 수 있었습니다. 침대는 푹신하고 편안해서 하루 종일 걸어 다닌 피로를 충분히 풀 수 있었고, 에어컨과 난방도 잘 작동해 쾌적한 온도를 유지할 수 있었습니다. 숙소 내에 마련된 어메니티도 다양하고 퀄리티가 좋아서 따로 챙겨온 물품 없이도 편리하게 이용할 수 있었습니다.",5,4일 전
y_36_005,전주 윈져,태희황,넷플렉스도 있고 안마의자도 있고 스타일러도 있는데 이 가격이면 완전 혜자!! 침구류도 깨끗해서 좋았어요. 근처에 맛집들도 많고 가성비가 최고에요. 전주 처음오는데 가야할 곳들에서 여기지역이 중간쯤이라 예약했는데 잘 묵고 갑니다~! 수압도 쎄서 씻는데 편했습니다. 터미널에서도 가까워서 차 안끌고 터미널 이용하는 분들이 오시면 좋을 거 같아요. 바로 좀만 걸어가면 코앞에 현대옥 있는데 콩나물국밥 맛있었어요 ㅋㅋ 전북대도 걸어서 10분이면 가서 번화가 놀러나갔습니다 ㅎㅎ,5,23일 전
y_36_006,전주 윈져,심드렁한평일,버스터미널 근처에 안마의자도 있고 스타일러도 있어서 좋았어요. 여름이라 선풍기도 구비되어 있었고 수압도 나쁘지 않았고 넷플릭스도 무료로 볼 수 있어요. 그러나 넷플릭스에 대해서 아쉬운 점은 제가 여기를 몇번이나 갔었는데 딱 한번.. 넷플릭스를 볼수가 없었습니다. 같은 계정으로 3명이 보고 있으면 4명부터는 못봅니다ㅠㅠ 이건 선착순이니 먼저 보는 사람이 이득이네요. 그리고 이중문이 있긴 하지만 고장났습니다. 이중문 고장난건 솔직히 두명 이상 있으면 상관없는데 혼자 방문하기엔 조금 무서울거 같아요. 그래도 잘 머물다 갑니다!,5,29일 전
y_36_007,전주 윈져,ABOP,"🎖️ 총평 : 저렴한 가격의 터미널 뒤 모텔 - 📌 위치 : ◾ 전주고속버스터미널 바로 뒤에 있어서 버스를 이용하기에 편리함 ◾ 큰 길가로 나오면 대중교통 이용에 불편함이 없고 주변에 편의점이 있음 ◾ 한옥마을까지는 걸어서 약 50여분 소요됨. - 📌 룸 컨디션 : ◾ 건물 내외부가 조금 오래된 느낌이 강함. 청소상태도 준수하지는 않은편. ◾ 침구류나 세면시설은 무난함. ◾ 열쇠로 따고 들어가는 방식의 문. 평일이어서 그런지 한산한 편이었음. ◾ 바로 앞이 고속터미널이지만 잘 때 시끄럽지 않아서 조용히 이용하기 좋음 - 📌 요금 : ◾ 평일가 선착순 쿠폰 사용하여 2만 원에 예약함. 전주시 대부분이 비슷한 가격대. - ✔️ 가성비와 위치, 오로지 잠 잘 곳을 생각한다면 무난한 선택",3,1개월 전
y_36_008,전주 윈져,짱삐맘,위치는 전주고속버스 터미널 근처라 찾기는 쉬웠어요.. 사장님은 친절하셨고 차 가지고가면 차키 맞겨야해요.. 이금액에 스타일러도 있고 안마의자까지.. 사용할일은 없었지만 필요하신분들은 좋으실듯 하더라구요.. 욕실에 물때나 곰팡이 보이는데 워낙 저렴하니 그부분은 패스.. 근처에 식당도 많고 조끔 걸으니 산책로도 있어서 저희는 한바퀴 돌고 들어 왔어요.. 금연이였던거 같은데 복도를 나가면 어딘가에서 담배 냉새가 나서 불쾌하긴 했어요.. 아직도 매너 꽝인 투숙객들 있어서 힘드실듯.. 저는 전주가면 다음에 또 이용할겁니다~,4,1개월 전
y_36_009,전주 윈져,구들구들한소만두,"전주가성비최고 짱!! 윈져성 좋아요. 늘감사. 기본에 충실한 착한업소. 침구깨끗, 스타일러,안마,호텔보다 최상급!! 감사합니다. ㅏㅇㅎㄷㅅ8ㅈ8ㅅ앟트ㅠ트널ㄴ겾겨쟛ㅌ하틓ㅋ런겾갸아ㅛ틒 ㅡㅍ컬ㄴ러젹ㄷ샤얏낳틒ㅌ하냣냐ㅛㅇ하트ㅠㅌ하얏얏댷틓틒ㄴ허얏댓앟틒탛냣냣앟틒캏ㄴ샤냣늪틒텃냣쟛앟틒ㅌ프앟냣냣읗ㅌ하낳요ㅑㅇ하틓얏냣냐ㅛ낳틓ㅇ사냣쟛앞트ㅠ탛야ㅛ야ㅛ아ㅗ트ㅠ틓냣쟛다ㅗ트ㅠ탛애ㅛ낳틓낳아ㅛ앟요ㅐ아ㅛ으ㅗ아하얏쟛잫트ㅠ탛앟앟낳",4,4일 전
y_36_010,전주 윈져,주안동서재응,전주고속터미널 공용터미널 모두 도보로 매우 가깝고 가격도 매우 훌륭 했어요. 전반적으로 노후됨은 보이지만 크게 불편한건 없었어요. 다만 이날 비가와서 그런지 알 수 없는 꿉꿉한 냄새가 방안에서 났어요. 창문을 열어 환기를 시켜도 이따금씩 나던데 아마 벽쪽 곰팡이에서 나는거 같기도 하고 나머지는 괜찮았어요 그리고 창문열면 터미널이 바로 보여서 밤늦게까지 버스들 후진하는 비프음이 계속 들리니 예밈하신 분들은 참고하셔야 할꺼 같아요. 저는 도보로 갔지만 자차이용시 주차는 이중주차로 카운터에 키 맏겨야 하는 시스템 입니다.,4,3개월 전
