원본파일,추출된이름,매칭된이름,유사도,결과
24게스트하우스 전주점.jpg,24게스트하우스 전주점,24게스트하우스 전주점,1.0,✔ 복사됨
MH HOTEL 중화산점.jpg,MH HOTEL 중화산점,전주 MH HOTEL 중화산동점,0.8667,🚫 복사 안함 (유사도 낮음)
글로스터호텔 전주.jpg,글로스터호텔 전주,글로스터호텔 전주,1.0,✔ 복사됨
김제 라온펜션.jpg,김제 라온펜션,전주 루와펜션,0.4286,🚫 복사 안함 (유사도 낮음)
넘버25호텔 전주산정점.jpg,넘버25호텔 전주산정점,전주 넘버25 NO.25 산정점,0.5517,🚫 복사 안함 (유사도 낮음)
라한호텔 전주.jpg,라한호텔 전주,라한호텔 전주,1.0,✔ 복사됨
베니키아 전주 한성 호텔.jpg,베니키아 전주 한성 호텔,베니키아 전주 한성 호텔,1.0,✔ 복사됨
베스트웨스턴플러스 전주호텔.jpg,베스트웨스턴플러스 전주호텔,베스트웨스턴플러스 전주호텔,1.0,✔ 복사됨
신라스테이 전주.jpg,신라스테이 전주,신라스테이 전주 한옥마을,0.7619,🚫 복사 안함 (유사도 낮음)
아늑료칸호텔 전주점.jpg,아늑료칸호텔 전주점,라한호텔 전주,0.5882,🚫 복사 안함 (유사도 낮음)
아늑호텔 전주점.jpg,아늑호텔 전주점,라한호텔 전주,0.6667,🚫 복사 안함 (유사도 낮음)
에이치에비뉴호텔 덕진점.jpg,에이치에비뉴호텔 덕진점,에이치에비뉴 덕진점,0.9091,✔ 복사됨
완주 HOTEL ONE.jpg,완주 HOTEL ONE,전주 메이드HOTEL MADE,0.6429,🚫 복사 안함 (유사도 낮음)
완주 S 모텔.jpg,완주 S 모텔,전주 애플모텔,0.5714,🚫 복사 안함 (유사도 낮음)
완주 그린파크장.jpg,완주 그린파크장,전주 서노송동 기린장,0.4211,🚫 복사 안함 (유사도 낮음)
완주 델루나펜션.jpg,완주 델루나펜션,전주 루와펜션,0.6667,🚫 복사 안함 (유사도 낮음)
완주 모악펜션.jpg,완주 모악펜션,전주 모헌한옥펜션,0.625,🚫 복사 안함 (유사도 낮음)
완주 소풍가는날펜션.jpg,완주 소풍가는날펜션,전주 가은채펜션,0.5556,🚫 복사 안함 (유사도 낮음)
완주 숲속의정원펜션.jpg,완주 숲속의정원펜션,전주 한옥마을타샤의정원독채펜션,0.5385,🚫 복사 안함 (유사도 낮음)
완주 째즈호텔.jpg,완주 째즈호텔,전주 호텔유,0.6154,🚫 복사 안함 (유사도 낮음)
완주 카리브.jpg,완주 카리브,전주 자우리,0.5,🚫 복사 안함 (유사도 낮음)
완주 칸 드라이브인 무인텔(KAN).jpg,완주 칸 드라이브인 무인텔(KAN),전주 우아동 D드라이브인 무인텔,0.6667,🚫 복사 안함 (유사도 낮음)
완주 편백숲이야기펜션.jpg,완주 편백숲이야기펜션,전주 한옥이야기펜션,0.6667,🚫 복사 안함 (유사도 낮음)
완주 편백숲황토펜션.jpg,완주 편백숲황토펜션,전주 생황토방펜션,0.6316,🚫 복사 안함 (유사도 낮음)
완주 하늘아래첫집펜션.jpg,완주 하늘아래첫집펜션,전주 한옥마을하늘애한옥펜션,0.48,🚫 복사 안함 (유사도 낮음)
완주 혁신도시 드래곤호텔.jpg,완주 혁신도시 드래곤호텔,전주 신시가지 스테이호텔,0.5385,🚫 복사 안함 (유사도 낮음)
완주 혁신도시 만상 호텔(MANSANG HOTEL).jpg,완주 혁신도시 만상 호텔(MANSANG HOTEL),전주 샵 호텔SHARP HOTEL,0.5217,🚫 복사 안함 (유사도 낮음)
완주 호텔 아리아(HOTEL ARIA).jpg,완주 호텔 아리아(HOTEL ARIA),전주 덕진동 호텔 와이케이(HOTEL WAIKEI),0.6122,🚫 복사 안함 (유사도 낮음)
완주 휴 모텔.jpg,완주 휴 모텔,전주 애플모텔,0.5714,🚫 복사 안함 (유사도 낮음)
웨스턴라이프호텔.jpg,웨스턴라이프호텔,베스트웨스턴플러스 전주호텔,0.4545,🚫 복사 안함 (유사도 낮음)
위너 호텔.jpg,위너 호텔,전주 호텔유,0.5455,🚫 복사 안함 (유사도 낮음)
이비스 스타일 앰배서더호텔 전주.jpg,이비스 스타일 앰배서더호텔 전주,이비스 스타일 앰배서더호텔 전주,1.0,✔ 복사됨
