name,category,ratring_score,rating_count,feature,addr
전주 중앙동 라온 호텔,모텔,4.3,71,전주한옥마을 도보 약 5분,전북특별자치도 전주시 완산구 풍남문2길 124-7
전주 산정동 호텔 감스테이,모텔,4.7,"1,043","한옥마을10분,전주역2분,버스터미널7분",전북특별자치도 전주시 덕진구 산정3길 30
전주 중화산동 호텔 인트로(HOTEL INTRO),모텔,4.7,"2,131",선너머 네거리 인근,전북특별자치도 전주시 완산구 한두평1길 11 (인트로호텔)
전주 신시가지 호텔 팝,모텔,4.9,688,도청 앞 신시가지 중심가 명품 호텔!,전북특별자치도 전주시 완산구 홍산북로 74
전주 중화산동 브라운도트 전주중화산점,모텔,4.8,"1,067",전주한옥마을차량10분/전주버스터미널 7분,전북특별자치도 전주시 완산구 한두평2길 14-6
전주 산정동 호텔 레이나,모텔,4.8,28,"한옥마을10분,전주역2분,터미널7분 위치",전북특별자치도 전주시 덕진구 산정3길 6
전주 덕진동 H Avenue 전주덕진점,모텔,4.9,347,"버스터미널(2분), 덕진공원(1분)",전북특별자치도 전주시 덕진구 덕진연못3길 9-3
전주 덕진동 호텔 워너비(HOTEL WANNABE),모텔,4.4,"4,667",◀ 눌러서 위치 확인하기,전북특별자치도 전주시 덕진구 덕진연못3길 8-4
전주 우아동 릴렉스호텔,모텔,5.0,56,전주고속버스터미널 차량 15분거리✔️위치,전북특별자치도 전주시 덕진구 아중4길 6-9
전주 덕진동 호텔 히든(HOTEL HIDDEN),모텔,4.6,"1,716",◀위치바로보기 GOGO,전북특별자치도 전주시 덕진구 덕진연못2길 9-5
전주 덕진동 하운드호텔 전주덕진,모텔,4.8,329,"버스터미널(2분), 덕진공원(1분)",전북특별자치도 전주시 덕진구 기린대로 532-6
전주 산정동 넘버25 전주산정점,모텔,4.9,"1,411","전주역4분,한옥마을12분,버스터미널12분",전북특별자치도 전주시 덕진구 산정3길 12
전주 덕진동 브라운도트 전주덕진점,모텔,4.5,"2,833",전주역/한옥마을 차량 10분,전북특별자치도 전주시 덕진구 기린대로 534
전주 금암동 아늑 료칸호텔 (터미널점),모텔,4.8,64,❤️전주 터미널 도보 3분❤️,전북특별자치도 전주시 덕진구 용산2길 17 (티파니모텔)
하운드호텔 전주아중지구,호텔,4.7,143,"한옥 마을 차량 7분, 전주역 5분",전라북도 전주시 덕진구 산정3길 19-2
전주 금암동 비지니스 호텔 궁,모텔,4.8,438,24.05리모델링★버스터미널 도보1분거리,전북특별자치도 전주시 덕진구 용산1길 17-4 (궁관광호텔)
전주 솔호텔 (SOL),호텔,4.8,"1,189","전주시 한옥마을 차량 7분, 전주역 5분",전라북도 전주시 덕진구 아중2길 22-4
전주 바라한호텔,호텔,4.9,768,전주고속버스정류장 도보 3분,전라북도 전주시 덕진구 용산2길 17-5
전주 산정동 호텔 메이드(HOTEL MADE),모텔,4.8,"1,456",♥한옥마을10분♥,전북특별자치도 전주시 덕진구 산정2길 12-8
전주 금암동 하운드 전주터미널,모텔,5.0,357,"터미널도보1분, 한옥마을,전주역차량10분",전북특별자치도 전주시 덕진구 용산1길 6-5 (필모텔)
글로스터호텔 전주,호텔,4.6,305,전주 한옥마을 도보 10분,전라북도 전주시 완산구 팔달로 227
