name,category,ratring_score,rating_count,feature
전주 중화산동 호텔 시그니처 (Signature),모텔,5.0,986,전주한옥마을차량10분/전주막걸리거리 8분
전주 산정동 호텔 감스테이,모텔,4.7,"1,043","한옥마을10분,전주역2분,버스터미널7분"
전주 산정동 호텔 메이드(HOTEL MADE),모텔,4.8,"1,456",♥한옥마을10분♥
전주 산정동 료칸호텔-엣지,모텔,4.9,30,"전주역 3분, 한옥마을 10분"
전주 덕진동 호텔 워너비(HOTEL WANNABE),모텔,4.4,"4,667",◀ 눌러서 위치 확인하기
전주 중앙동 라온 호텔,모텔,4.3,71,전주한옥마을 도보 약 5분
전주 서신동 호텔 아지트,모텔,4.8,"1,108",신축 오픈! 한옥마을/전주역/터미널10분
전주 금암동 YAJA 전주터미널점,모텔,4.7,"2,904",전주터미널1분/전주역10분/한옥마을10분
전주 산정동 아늑 호텔,모텔,4.9,590,❤️전주역 차량 5분❤️
전주 금암동 투헤븐,모텔,4.8,541,전주 금암동 터미널부근
전주 덕진동 MOMENT 708,모텔,4.7,"3,829","버스터미널(2분), 종합경기장(1분)"
전주 우아동 소울,모텔,4.5,814,"한옥마을(10분), 전주역(2분)"
전주 덕진동 브라운도트 전주덕진점,모텔,4.5,"2,833",전주역/한옥마을 차량 10분
전주 금암동 아늑 료칸호텔 (터미널점),모텔,4.8,64,❤️전주 터미널 도보 3분❤️
하운드호텔 전주아중지구,호텔,4.7,143,"한옥 마을 차량 7분, 전주역 5분"
전주 금암동 비지니스 호텔 궁,모텔,4.8,438,24.05리모델링★버스터미널 도보1분거리
전주 솔호텔 (SOL),호텔,4.8,"1,189","전주시 한옥마을 차량 7분, 전주역 5분"
전주 바라한호텔,호텔,4.9,768,전주고속버스정류장 도보 3분
전주 덕진동 호텔 워너비(HOTEL WANNABE),모텔,4.4,"4,667",◀ 눌러서 위치 확인하기
전주 산정동 호텔 메이드(HOTEL MADE),모텔,4.8,"1,456",♥한옥마을10분♥
전주 중화산동 호텔 시그니처 (Signature),모텔,5.0,986,전주한옥마을차량10분/전주막걸리거리 8분
전주 산정동 호텔 감스테이,모텔,4.7,"1,043","한옥마을10분,전주역2분,버스터미널7분"
전주 산정동 호텔 메이드(HOTEL MADE),모텔,4.8,"1,456",♥한옥마을10분♥
전주 산정동 료칸호텔-엣지,모텔,4.9,30,"전주역 3분, 한옥마을 10분"
전주 덕진동 호텔 워너비(HOTEL WANNABE),모텔,4.4,"4,667",◀ 눌러서 위치 확인하기
전주 중앙동 라온 호텔,모텔,4.3,71,전주한옥마을 도보 약 5분
전주 서신동 호텔 아지트,모텔,4.8,"1,108",신축 오픈! 한옥마을/전주역/터미널10분
전주 금암동 YAJA 전주터미널점,모텔,4.7,"2,904",전주터미널1분/전주역10분/한옥마을10분
전주 산정동 아늑 호텔,모텔,4.9,590,❤️전주역 차량 5분❤️
전주 금암동 투헤븐,모텔,4.8,541,전주 금암동 터미널부근
전주 덕진동 MOMENT 708,모텔,4.7,"3,829","버스터미널(2분), 종합경기장(1분)"
전주 우아동 소울,모텔,4.5,814,"한옥마을(10분), 전주역(2분)"
전주 덕진동 브라운도트 전주덕진점,모텔,4.5,"2,833",전주역/한옥마을 차량 10분
전주 금암동 아늑 료칸호텔 (터미널점),모텔,4.8,64,❤️전주 터미널 도보 3분❤️
하운드호텔 전주아중지구,호텔,4.7,143,"한옥 마을 차량 7분, 전주역 5분"
전주 금암동 비지니스 호텔 궁,모텔,4.8,438,24.05리모델링★버스터미널 도보1분거리
전주 솔호텔 (SOL),호텔,4.8,"1,189","전주시 한옥마을 차량 7분, 전주역 5분"
전주 바라한호텔,호텔,4.9,768,전주고속버스정류장 도보 3분
전주 덕진동 호텔 워너비(HOTEL WANNABE),모텔,4.4,"4,667",◀ 눌러서 위치 확인하기
전주 산정동 호텔 메이드(HOTEL MADE),모텔,4.8,"1,456",♥한옥마을10분♥
전주 금암동 하운드 전주터미널,모텔,5.0,357,"터미널도보1분, 한옥마을,전주역차량10분"
글로스터호텔 전주,호텔,4.6,305,전주 한옥마을 도보 10분
전주 금암동 YAJA 전주터미널점,모텔,4.7,"2,904",전주터미널1분/전주역10분/한옥마을10분
전주 산정동 넘버25 전주산정점,모텔,4.9,"1,411","전주역4분,한옥마을12분,버스터미널12분"
전주 산정동 에이치에비뉴(H Avenue) 전주아중지구점,모텔,4.9,774,"전주역4분,한옥마을7분,전주동물원8분"
전주 산정동 호텔 감스테이,모텔,4.7,"1,043","한옥마을10분,전주역2분,버스터미널7분"
전주 덕진동 호텔 와이케이(HOTEL WAIKEI),모텔,4.6,"1,486",한옥마을 10분 전북대 2분 터미널 3분
신라스테이 전주,호텔,4.6,275,전주한옥마을 도보 10분
전주 산정동 하운드호텔 전주아중지구,모텔,4.9,53,전주시 덕진구 우아2동
전주 산정동 호텔 에비뉴(HOTEL AVENUE),모텔,4.8,"2,260","한옥마을(10분), 전주역(2분)"
전주 산정동 제이즈 호텔,모텔,4.7,"5,882","한옥마을10분,전주역2분,버스터미널7분"
전주 라베호텔(LABE HOTEL),호텔,4.8,809,"막걸리마을 8분, 한옥마을 10분"
전주 스테이 호텔(stay),호텔,4.8,51,"한옥마을 차량 5분, 전주역 3분"
전주 시그니처 호텔,호텔,4.6,221,전주역 도보 1분
전주 덕진동 MOMENT 708,모텔,4.7,"3,829","버스터미널(2분), 종합경기장(1분)"
전주 고사동 YAJA 전주한옥마을점,모텔,4.1,"8,029","전주시청입구사거리 인근,영화의거리도보2분"
이비스 스타일 앰배서더호텔 전주,3성급 호텔,4.7,172,전주한옥마을 근처에 위치
전주 금암동 호텔 마리(터미널점),모텔,4.8,"5,443",버스터미널(1분)전주역10분한옥마을10분
