name,category,rating_score,rating_count,feature,addr,source,image,lat,lng
전주 라온 호텔,모텔/호텔,4.3,71,전주한옥마을 도보 약 5분,전북특별자치도 전주시 완산구 풍남문2길 124-7,n,전주 라온 호텔.jpg,35.8145711,127.143807
전주 감스테이,모텔/호텔,4.7,1043,한옥마을10분전주역2분버스터미널7분,전북특별자치도 전주시 덕진구 산정3길 30,n,전주 감스테이.jpg,35.8391862,127.169399
전주 중화산동 호텔 인트로(HOTEL INTRO),모텔/호텔,4.7,2131,선너머 네거리 인근,전북특별자치도 전주시 완산구 한두평1길 11,n,전주 중화산동 호텔 인트로(HOTEL INTRO).jpg,35.8126384,127.1243679
전주 POP,모텔/호텔,4.9,688,도청 앞 신시가지 중심가 명품 호텔,전북특별자치도 전주시 완산구 홍산북로 74,n,전주 POP.jpg,35.8172918,127.1100945
전주 브라운도트 중화산동점,모텔/호텔,4.8,1067,전주한옥마을차량10분전주버스터미널 7분,전북특별자치도 전주시 완산구 한두평2길 14-6,n,전주 브라운도트 중화산동점.jpg,35.8131639,127.1242994
전주 호텔레이나구 전주 소풍,모텔/호텔,4.8,28,한옥마을10분전주역2분터미널7분 위치,전북특별자치도 전주시 덕진구 산정3길 6,n,전주 호텔레이나구 전주 소풍.jpg,35.8373334,127.1707917
에이치에비뉴 덕진점,모텔/호텔,4.9,347,버스터미널2분 덕진공원1분,전북특별자치도 전주시 덕진구 덕진연못3길 9-3,n,에이치에비뉴 덕진점.jpg,35.8470704,127.1201968
전주 워너비,모텔/호텔,4.4,4667,눌러서 위치 확인하기,전북특별자치도 전주시 덕진구 덕진연못3길 8-4,n,전주 워너비.jpg,35.8463852,127.1209453
전주 릴렉스호텔,모텔/호텔,5.0,56,전주고속버스터미널 차량 15분거리위치,전북특별자치도 전주시 덕진구 아중4길 6-9,n,전주 릴렉스호텔.jpg,35.8313938,127.1740132
전주 히든호텔,모텔/호텔,4.6,1716,위치바로보기,전북특별자치도 전주시 덕진구 덕진연못2길 9-5,n,전주 히든호텔.jpg,35.8459419,127.1217744
전주 하운드호텔덕진점,모텔/호텔,4.8,329,버스터미널2분 덕진공원1분,전북특별자치도 전주시 덕진구 기린대로 532-6,n,전주 하운드호텔덕진점.jpg,35.8460329,127.1214617
전주 넘버25 NO.25 산정점,모텔/호텔,4.9,1411,전주역4분한옥마을12분버스터미널12분,전북특별자치도 전주시 덕진구 산정3길 12,n,전주 넘버25 NO.25 산정점.jpg,35.8376909,127.1704686
전주 브라운도트 덕진점,모텔/호텔,4.5,2833,전주역한옥마을 차량 10분,전북특별자치도 전주시 덕진구 기린대로 534,n,전주 브라운도트 덕진점.jpg,35.8460907,127.1210444
전주 금암동 아늑 료칸호텔 (터미널점),모텔/호텔,4.8,64,전주 터미널 도보 3분,전북특별자치도 전주시 덕진구 용산2길 17,n,전주 금암동 아늑 료칸호텔 (터미널점).jpg,35.8355082,127.1320696
하운드호텔 전주아중지구,모텔/호텔,4.7,143,한옥 마을 차량 7분 전주역 5분,전북특별자치도 전주시 덕진구 산정3길 19-2,n,하운드호텔 전주아중지구.jpg,35.8383751,127.1692313
전주 금암동 비지니스 호텔 궁,모텔/호텔,4.8,438,2405리모델링버스터미널 도보1분거리,전북특별자치도 전주시 덕진구 용산1길 17-4,n,전주 금암동 비지니스 호텔 궁.jpg,35.8350253,127.1314096
전주 솔호텔 (SOL),모텔/호텔,4.8,1189,전주시 한옥마을 차량 7분 전주역 5분,전북특별자치도 전주시 덕진구 아중2길 22-4,n,전주 솔호텔 (SOL).jpg,35.8295001,127.1733668
전주 바라한호텔,모텔/호텔,4.9,768,전주고속버스정류장 도보 3분,전북특별자치도 전주시 덕진구 용산2길 17-5,n,전주 바라한호텔.jpg,35.8360054,127.1320939
전주 메이드HOTEL MADE,모텔/호텔,4.8,1456,한옥마을10분,전북특별자치도 전주시 덕진구 산정2길 12-8,n,전주 메이드HOTEL MADE.jpg,35.8372779,127.1698378
전주 금암동 하운드 전주터미널,모텔/호텔,5.0,357,터미널도보1분 한옥마을전주역차량10분,전북특별자치도 전주시 덕진구 용산1길 6-5,n,전주 금암동 하운드 전주터미널.jpg,35.8351234,127.1298279
글로스터호텔 전주,모텔/호텔,4.6,305,전주 한옥마을 도보 10분,전북특별자치도 전주시 완산구 팔달로 227,n,글로스터호텔 전주.jpg,35.8223482,127.1449563
전주 금암동 YAJA 전주터미널점,모텔/호텔,4.7,2904,전주터미널1분전주역10분한옥마을10분,전북특별자치도 전주시 덕진구 용산2길 13,n,전주 금암동 YAJA 전주터미널점.jpg,35.8359555,127.1317486
전주 에이치에비뉴HAVENUE,모텔/호텔,4.9,774,전주역4분한옥마을7분전주동물원8분,전북특별자치도 전주시 덕진구 산정2길 6-4,n,전주 에이치에비뉴HAVENUE.jpg,35.8370331,127.1700237
전주 덕진동 호텔 와이케이(HOTEL WAIKEI),모텔/호텔,4.6,1486,한옥마을 10분 전북대 2분 터미널 3분,전북특별자치도 전주시 덕진구 명륜5길 10-2,n,전주 덕진동 호텔 와이케이(HOTEL WAIKEI).jpg,35.8432937,127.1256511
신라스테이 전주 한옥마을,모텔/호텔,4.6,275,전주한옥마을 도보 10분,전북특별자치도 전주시 완산구 현무1길 10,n,신라스테이 전주 한옥마을.jpg,35.8196908,127.1485428
전주 에비뉴호텔,모텔/호텔,4.8,2260,한옥마을10분 전주역2분,전북특별자치도 전주시 덕진구 산정2길 12-16,n,전주 에비뉴호텔.jpg,35.8375457,127.1699554
전주 산정동 제이즈 호텔,모텔/호텔,4.7,5882,한옥마을10분전주역2분버스터미널7분,전북특별자치도 전주시 덕진구 산정3길 11,n,전주 산정동 제이즈 호텔.jpg,35.8375038,127.1702465
