text,label
굿굿 전주 놀러와서 박했는디 스타일러도 있고 시설도 깔끔하고 매트리스도 굿 엄청 꿀잠 잤습니당 감사합니더,1
화장실이 다소 아쉽습니다.,0
호텔과 모텔의 사이 정도의 시설인거 같습니다 방도 넓은 편이고 침대가 일단 상당히 편해서 만족스러웠어요 나름 깨끗하게 방역도 하신다고 하고 근데 침대시트에 얼룩이 진게 영 찜찜했습니다,0
위치가 좋아서 여행하기 편했어요.,1
음베게가 너무 높아서 목 꺽이는거 같았어요 목 너무아픔 진심 이걸 어떻게 베고 자라고 놓은건지 말도 안되게 높았어요 매트리스도 엄청 딱딱하고 불편해서 잠이 잘 안왔어요모텔보다 못한 수준 객실안에 씻는 도구가 배치가 안되어 있던데 입실전에 어메니티 안내를 해주시던지 안내를 하시고 판매를 하시던지 따로 자동 판매기 같은게 안보였는데 제가 못찾은 걸까요 안내를 못받은 걸까요 딱히 편의점에서 클렌징오일이랑 폼클렌징 한만원 내고 샀네요 리모델링 해서 재오픈 한걸로 알고 있는데 인테리어 말고 이런부분 신경 전혀 안쓰신게 보여서 좀 많이 마음에 들지 않았고였어요 딱히 딱 잘 꾸며놓은 모텔 수준 정도가 맞는거 같네요,0
가끔 담배 냄새가 나서 아쉽습니다.,0
다른건 전부 무난했으나 침대 시트 교체가 안되어있었어요,0
생각보다 방이 작았지만 하루 지내긴 괜찮았어요.,1
한옥마을과는 가까워서 굉장히 좋았는데요 날씨가 더웠는데 중앙식에어컨이라 굉장히 더워서 사우나하는 느낌 다른방도 다똑같다고해서 참았는데 아침에 일어나보니 팔에 벌레가 군데나 물려서 가려워서 긁느라 혼났네요 모가도 아니고 진드기에 물린거같은데 룸바닥이 카페트라서 청소도 그렇고 에어컨도 그렇고벌레도 그렇고 비추합니다,0
방에서 꼬랑내 하수구 냄새 담배 냄새 등 모든 악취가 진동하여 잠을 잘 수 없었습니다. 또한 방음과 외부 소음이 심합니다. 단연코 냄새는 최악입니다,0
외부는 오래되었지만 내부는 지낼 만했으며 바퀴벌레가 나와 불안하고 불편했습니다. 오래된 건물이라도 청결과 위생에 신경 써야 할 것 같습니다.,0
청결합니다 처음에 들어갈때 정말 상쾌한 향기에 기분좋게 입실했습니다 그런데 자는 도중 정말 머리가 아플정도로 담배냄새가 계속 나더군요 밖에서 들어오는건지 화장실배관을 타고 들어오는건지 머리아파서 잠도 편하게 못잤네요 저녁부터 아침까지 계속 나네요,0
숙소 위치가 좋아 한옥마을 등을 관람하기 좋고 무난하게 좋습니다.,1
체크아웃 시간도 여유 있어서 좋았어요.,1
친절하시고 좋았어요,1
최악 중의 최악입니다. 객실에서 담배 냄새도 심한 데다 청소도 안 한 지 한참 된 듯 더러웠고 담배꽁초도 있었습니다. 모기가 들끓는지 벽에는 모기 잡은 흔적이 엄청 많아서 불안했는데 역시나 어디서 들어왔는지 밤새 모기 잡느라 잠도 제대로 못 잤습니다. 아침엔 구조적으로 밖에 안 닫히는 커튼 때문에 눈부셔서 숙면을 취할 수도 없었습니다. 스타일러도 없었는데 전 객실 스타일러 구비라고 되어 있는 것도 사기 아닌가 싶고 애초에 대여가 안 되는 쓰레기 같은 객실을 준 것 같습니다.,0
가격 대비 가성비 괜찮습니다 혼자 츌장 다니는 저 입니다 혼자 출장 다니는 사람에게는 추천 딱 점 그 이상 그 이하도 아닙니다 세번째 숙박인데 가성비로 이용합니다 오래 된 건물이긴 합니다,1
일단 청결상태는 안좋았습니다 까는 이불과 덮는 이불 베개 등 여러 사람이 사용한 후 관리가 잘 되지 않았는지 누렇게 생겨서 매우 찝찝했습니다한옥이라 소음은 크다고 주의는 해주셨지만 옆 방의 코고는 소리가 너무 생생하게 전해져 새벽에 결국 찜질방으로 옮겼네요 잠만 자고 가면 괜찮겠거니 했는데 위생상태나 소음문제 너무 실망스럽습니다,0
자주 이용하는 제이즈는 체크인 시간이 매우 빨라서 좋습니다. 추운 날씨에 일찍 입실하여 하루 종일 방에서 쉬기 좋은 숙소입니다. 대형 TV로 넷플릭스를 보며 편안하게 쉬었습니다. 청결에 조금 더 신경 써 주시면 더욱 만족스러울 것 같습니다.,1
