리뷰,예측,확률
부모님 모시고 처음으로 여행을 가봤는데 일단 룸 형식은 너무 마음에 들었습니다 체크인할때 프론트 직원 친절했습니다 수건도 넉넉히 주시구요 근대 수건이 물만 한번 닦으면 너무 쉰내가 나서 사용을 할수가 없었습니다 호텔 수건에 쉰내는 처음이라 당황스러웠습니다 그리고 정말 방음이 하나도 안됩니다 정말정말 시끄러워서 잠을 못잤습니다 문소리 복도소리 물소리 옆룸에서 대화하는소리도 다들렸습니다 또한 에어컨이 중앙이라 가동을 안해서 밤새 찬물샤워 번하고 땀으로 범벅 되서 혼났습니다 선풍기를 부탁드렸지만 없다고 하더군요 그날은 황사와 미세먼지가 심해서 창문도 못열었거든요,부정,0.0478
역시나깔끔하게이용잘했습니다,긍정,0.9329
화장실 천장이 뚫려있음,긍정,0.9301
숙소 엄청 깔끔하고 좋아요,긍정,0.9361
에어컨이 개더워요 바람도 약하고 걍 개 더워요 아무데서나 잘 자는편인데 잠을 못잤네요 너무 더워서 침대랑 티비사이 공간 땅바닥에 내려와서 자다가 담걸리고,긍정,0.8861
엘베가 개 밖에 없어서 불편합니다,긍정,0.9244
청소가 깨끗이 되어 있고 수압도 쎄고 좋아요,긍정,0.9277
콩나물 호텔이라는 이름의 숙소였습니다 주차공간도 꽤 있어서 늦은시간에 갔는데도 주차하기 편해 좋았습니다 만화책도 무료로 대여도 가능하고 무엇보다 인테리어가 너무 귀엽고 깔끔해서 좋았어요 방에 침구도 다른 모텔 침구같은 침구가 아니어서 좋았고 화장실도 깨끗하고 어메니티도 너무 좋았습니다 잠깐 묵는거라 더 오래 즐기지 못해 아쉬웠습니다 레코드라던가 간식 주문해서 먹는것도 해보고싶네요 다음에 올때도 이 숙소로 올것 같습니다 친구들끼리 전주 놀러가시는 분들께 강추,긍정,0.8782
아주 좋아요 잘 쉬다갑니다,긍정,0.936
화장실이 문 없이 개방형이라 조금 불편하긴 했어요 청결이나 인테리어는 그냥그냥 무난합니다 편하게 이용하고 나왔어요,긍정,0.9073
일단 년 전통이란 사실을 알고 가셔야 합니다 년 전통 답게 시설이 많이 노후화 되어있고 특히 화장실에서 오래된 느낌을 많이 느낄 수 있습니다 조명이 어두운 편이고 밝기 조절이 불가능 합니다 가장 비추하는 이유는 방음이 하나도 안돼서 옆방 소리가 다 들립니다 엘베에서 내리면 가장 멀리 있는 방 소리도 다 들립니다 침대 크고 접근성 좋은거 빼면 좋은점이 없습니다,긍정,0.8385
저번에 이용했던 방보다 더 좋은것 같네요 물품들도 잘 관리되어 있고 객실 컨디션도 아주 만족했습니다 카운터 직원부도 친절하셨고 전체적으로 만족합니다 다음에 근처에 숙박할 일이 생기면 또 이용할게요,긍정,0.9093
좋아요 좋아요좋아요 좋아요좋아요 좋아요좋아요 좋아요좋아요 좋아요좋아요 좋아요좋아요 좋아요좋아요 좋아요,긍정,0.9392
항상편히쉬고갑니다,긍정,0.9364
사장님도 친절하시구 근처 숙소들에 비해서 가성비는 괜찮으나 숙소 청소가 제대로 안되있더라구요머리카락들이 방음도 잘 안되서 새벽에 근처에서 떠드는 목소리들이랑 차소리가 너무 잘 들렸어요 뭐때문인지는 모르겠는데 남자친구는 새벽에 안눌리던 가위에 눌렸대요,긍정,0.875
산정동에 위치한 에이치에비뉴입니다 두번째 방문입니다 자세히 이름은 기억은 안나지만 이전호텔을 와본기억이 있습니다 모텔 급이였는데 구조는 여인숙여관 에서 영감을 가진거같은 좀 거부감이 들더군요 그래서 두번다시 안갔구요 여인숙세대입니다 오픈은 한지 꽤 되었지만 예전 트라우마 덕인지 안갔었는데 누가 가보라고 억지로 예약을 해줘서 방문했습니다 그땐 담배냄새 안나고 친절해 에어컨 깨끗해 침구좋아 카드키 반납하러 퇴실 데스크방문때 빼곤 완벽 그리하여 내돈내산 두번째 방문입실전 데스크방문부터 전부 불쾌 리뷰볼줄아시는분은 다들 아실겁니다 리뷰는 절대 좋은것만 보면 안됩니다 낮은평점순으로보고 안좋은걸 본후 악의적인지 아닌지 걸러낸다 이렇게하여 판단하니 성공률이 꽤 높은쪽에 속합니다 이곳 리뷰도 공통적인게 있을겁니다 전화 저도 겪었습니다 무려두번이나 한번은 실수라 생각되지만 두번은 아니다 입실하자 분이내 퇴실 시간전 퇴실때 강력하게 클레임걸자 하지만 전날본 남자분이 피곤함에 쩔어계시는거보고 저분이 사장님이구나 인건비 아끼기위해 고생하는구나 찰나에 생각과 함께 그냥 내가 안오면 되지하고 나왔습니다 사설이 길었고 요즘시대는 숙박업소는 쉬기위해가는곳이고 놀러가는곳입니다 힐링 호캉스 그렇기에 침구류 어메니티 청결이 우선입니다 이곳은 머리카락 하나 찾기 힘들정도에 청결과 깨끗한 침구류 완벽한 어메니티 샴푸 리스제외 이지만 너무 피곤하신 나머지 입실전 데스크때부터 입실후와 퇴실전까지 지속적인 실수들은 개선해야할 최우선 과제가 아닌가 싶습니다 컨디션 좋으실때는 완벽에 가깝습니다 이점 참고하시길 바랍니다,부정,0.0426
한적하니 좋았지만 위생 및 환기에 좀 더 신경 쓰셔야할 곳 같아요 담배냄새도 없애주세요,긍정,0.9065
천변뷰 나름 괜찮았고 주차는 조금불편 현장일하시는분들이 숙박하셔서 늦게까지 시끄러웠음 위치는 정말 좋고 숙소 컨디션은 좋은편이에요,긍정,0.9056
