review_content,rating,label
숙박 예약했는데 분정도 일찍갔더니 대실비 내고 짐가져다놓으라길래 그냥 할일 먼저하고서 오겟다한다음 시넘어서왔더니 청소덜됐다고 기다리라는게 누가봐도 제가 쓸방 대실줘서 그런거아닙니까 게다가 이불에 피가 묻어있더군요 청소를 하신건지 이불은 원래 교체안하는건지 제가 예민한건가요 방은 따듯하고 온수도 잘나오고 나쁘지않았는데 이불에 묻은 피를 본순간 진짜 아니라는생각이들었어요 답글 보고나니 다신 이용안할생각이구여 저는 위생상태를말한겁니다 피묻은 이불을 답글은 제가 시간문제로 일부러 피를 묻혔다는걸로 해석되네요 대단합니다 밤열두시애 피묻은걸 발견햇고 늦은시간애 전화하는게민폐일까봐 냅둿어요 후기 써서 기분나쁘셧나보내요 오라해도 부탁해도안가여,0,0
자주가는 숙소입니다 이번에는 청소가 별로였어요,1,0
금연방인데 담배냄새인지 비슷한냄새가 계속 나서 숨쉬기 불편했어요그래도 잘 쉬었다가가요,3,0
대실 시간 길어서 너무좋아요,5,1
좋아요좋아요좋아요좋아요,5,1
주차공간도 없고 방도 먼지가 쌓여서 더러웠습니다 청소를 안하시는건지 먼지가 쌓여있고 냉장고도 작동이 제대로 되지않아서 물도세고 티비도 인터넷 연결도 잘 안되고 하여튼 최악이엿습니다 돈 날리고왔습니다,1,0
잘쉬다갑니다 만족해요추천,5,1
정말 더러웠어요 한숨도 못자고 이블덮지도 않았어요 최악입니다 물건들 낡고 오래됐으며 방 청소라도 해야하는데 먼지 구덩이였습니다 암 걸리는줄 알았습니다 저 후기 작성 이게 처음인데 꼭 알려야겠어서 작성합니다 두번 다시는 안가고 싶습니다 전문입주청소 업체 불러서 청소좀 하세요 돈을떠나 공짜로 재워준다 해도 안가고 싶습니다 시급해보입니다,0,0
음 수건은 집에서도 이렇게 오래 쓰지는 못할 정도로 오래되서 얇아지고 헤지고 바로 옆에 공영주차장이라 차량 소음심하고 사람들 통화하는 소리 대화소리 다 들리고 가격적인 메리트가 있는것도 아니고 단지 객리단길과 접근성 좋은거 말고는 장점이 아무리 찾아봐도 안보이네요 재방문의사 제로,2,0
담배냄새가 너무 심해요,1,0
방음은 잘 됩니다 하지만 벽에 곰팡이가 조금 있는게 아쉽고 다른점은 되게 깔끔하고 좋습니다 다른 곳 보다 싸가지고 좀 걱정을 많이했는데 웬만한 곳보다 더 좋고 가격도 저렴합니다 다음에도 이용하겠습니다,5,1
조용하게 잘 이용하고 갔어요,5,1
최근에 모텔 방문을 잘 안해서 생각못하고있었는데 시설 정말 좋아요 깔끔하고 모난곳 하나 없이 잘 이용했습니다 전부 만족스러웠어요 주변에 고속버스터미널이랑 시외버스터미널 있어서 타지역에서 놀러오면 여기서 묵기 딱 좋은 것 같습니다 이 주변 모텔들 중 손에 꼽을정도로 괜찮아요 스낵바도 깔끔하고 잘해놓으셔서 원래 스낵바 이용 잘 안하는데 맛있게 먹었습니다 냉장고에 물도 넉넉히 넣어주셔서 감사해요 다음에도 또 이용할 의향 완전 있습니다 항상 이대로 유지되면 좋겠고 다음번엔 더 좋은 방 예약해볼게요,5,1
욕조가 너무 더러웠어요 물때도 아닌게 더럽게있었음,3,0
가성비입니다 푹 쉬다 왔네요,5,1
연박햇어요 가격싸고 쿠본써서더싸고 좋아요 연박햇어요 가격싸고 쿠본써서더싸고 좋아요 연박햇어요 가격싸고 쿠본써서더싸고 좋아요 연박햇어요 가격싸고 쿠본써서더싸고 좋아요 연박햇어요 가격싸고 쿠본써서더싸고 좋아요 연박햇어요 가격싸고 쿠본써서더싸고 좋아요,5,1
수건이랑 화장실 청결이 변기 수압이 너무 약했어요,3,0
객실의 컨디션도 깔끔하고 침구류도 푹신하고 적 당히 좋았습니다특히 화장실이 너무 깔꼼해서 좋아요 위치도 전북대 바로 근처라 술마시 고 오기도 넘 좋고 이동 시에도 위치가 아주 굳굳 가격대비 정말 좋은 선택인것같아요,5,1
매우 지저분하고 별로임 다시는 안가고싶은 그런 곳,1,0
구조는 독특하게 빠져잇네요 다만 위생이 별로예요베개에서 머리카락 긴 것이 몇개나오고 이불에서도 나와요 물 수압은 다녀본 곳중 제일수압이 약해요냉장고냄새나요그냥 불평 없는분은 그냥쓸만해요,3,0
깔끔하고 선착순 쿠폰받아 저렴하게 이용 잘했습니다 다에 또 오고싶어요,5,1
